Simulation,Time,Data,Var
14,14,0.030566281,DON (nmol/hr)
14,20.205,0.081364087,DON (nmol/hr)
15,2.015,,DON (nmol/hr)
15,6.255,,DON (nmol/hr)
15,13.98,,DON (nmol/hr)
15,20.755,,DON (nmol/hr)
15,22.655,0.081081081,DON (nmol/hr)
16,0.25,0.111148649,DON (nmol/hr)
16,1.165,,DON (nmol/hr)
16,2.415,,DON (nmol/hr)
16,3.375,,DON (nmol/hr)
16,4.125,,DON (nmol/hr)
16,5.25,,DON (nmol/hr)
16,6.75,,DON (nmol/hr)
16,8.5,,DON (nmol/hr)
16,10.125,0.034324325,DON (nmol/hr)
16,10.875,,DON (nmol/hr)
16,11.5,,DON (nmol/hr)
16,12.75,0.078828829,DON (nmol/hr)
16,15.84,,DON (nmol/hr)
16,19.34,,DON (nmol/hr)
16,21,,DON (nmol/hr)
16,22.25,,DON (nmol/hr)
1,2.185,,DON-3-GlcA (nmol/hr)
1,6.325,,DON-3-GlcA (nmol/hr)
1,9.555,,DON-3-GlcA (nmol/hr)
1,13.405,,DON-3-GlcA (nmol/hr)
1,17.88,,DON-3-GlcA (nmol/hr)
1,20.75,,DON-3-GlcA (nmol/hr)
2,0.085,0.280408774,DON-3-GlcA (nmol/hr)
2,0.71,,DON-3-GlcA (nmol/hr)
2,1.58,,DON-3-GlcA (nmol/hr)
2,3.87,,DON-3-GlcA (nmol/hr)
2,6.83,,DON-3-GlcA (nmol/hr)
2,9.065,0.025732519,DON-3-GlcA (nmol/hr)
2,10.65,0.217917676,DON-3-GlcA (nmol/hr)
2,11.53,0.149904062,DON-3-GlcA (nmol/hr)
2,12.88,0.032942332,DON-3-GlcA (nmol/hr)
2,18.265,0.011486625,DON-3-GlcA (nmol/hr)
3,1.165,,DON-3-GlcA (nmol/hr)
3,4.745,,DON-3-GlcA (nmol/hr)
3,9.495,,DON-3-GlcA (nmol/hr)
3,15.495,,DON-3-GlcA (nmol/hr)
3,21.91,,DON-3-GlcA (nmol/hr)
4,1.75,,DON-3-GlcA (nmol/hr)
4,5.755,,DON-3-GlcA (nmol/hr)
4,12.005,0.029035235,DON-3-GlcA (nmol/hr)
4,19.5,,DON-3-GlcA (nmol/hr)
5,1.29,,DON-3-GlcA (nmol/hr)
5,3.79,,DON-3-GlcA (nmol/hr)
5,6.705,,DON-3-GlcA (nmol/hr)
5,9.245,,DON-3-GlcA (nmol/hr)
5,11.915,,DON-3-GlcA (nmol/hr)
5,17.79,0.016519131,DON-3-GlcA (nmol/hr)
6,1.25,,DON-3-GlcA (nmol/hr)
6,3.35,,DON-3-GlcA (nmol/hr)
6,5.71,,DON-3-GlcA (nmol/hr)
6,7.875,,DON-3-GlcA (nmol/hr)
6,13.165,,DON-3-GlcA (nmol/hr)
6,20.385,0.007991018,DON-3-GlcA (nmol/hr)
7,0.75,,DON-3-GlcA (nmol/hr)
7,2.265,,DON-3-GlcA (nmol/hr)
7,4.975,,DON-3-GlcA (nmol/hr)
7,7.375,,DON-3-GlcA (nmol/hr)
7,8.995,,DON-3-GlcA (nmol/hr)
