Simulation,Time,Data,Var
1,2.185,1.732679045,DON (nmol/hr)
1,6.325,3.820019218,DON (nmol/hr)
1,9.555,1.506962411,DON (nmol/hr)
1,13.405,0.414153652,DON (nmol/hr)
1,17.88,0.24905194,DON (nmol/hr)
1,20.75,,DON (nmol/hr)
2,0.085,,DON (nmol/hr)
2,0.71,23.50611124,DON (nmol/hr)
2,1.58,15.37646399,DON (nmol/hr)
2,3.87,0.374790619,DON (nmol/hr)
2,6.83,1.260207006,DON (nmol/hr)
2,9.065,,DON (nmol/hr)
2,10.65,1.483391024,DON (nmol/hr)
2,11.53,1.361206266,DON (nmol/hr)
2,12.88,0.224242291,DON (nmol/hr)
2,18.265,0.08223581,DON (nmol/hr)
3,1.165,5.356211558,DON (nmol/hr)
3,4.745,1.9177083,DON (nmol/hr)
3,9.495,0.470223971,DON (nmol/hr)
3,15.495,0.05256452,DON (nmol/hr)
3,21.91,,DON (nmol/hr)
4,1.75,5.542565745,DON (nmol/hr)
4,5.755,3.26291421,DON (nmol/hr)
4,12.005,,DON (nmol/hr)
4,19.5,2.848262952,DON (nmol/hr)
5,1.29,11.42678659,DON (nmol/hr)
5,3.79,1.100895695,DON (nmol/hr)
5,6.705,,DON (nmol/hr)
5,9.245,,DON (nmol/hr)
5,11.915,,DON (nmol/hr)
5,17.79,,DON (nmol/hr)
6,1.25,6.623301484,DON (nmol/hr)
6,3.35,1.296100894,DON (nmol/hr)
6,5.71,0.749594871,DON (nmol/hr)
6,7.875,,DON (nmol/hr)
6,13.165,,DON (nmol/hr)
6,20.385,,DON (nmol/hr)
7,0.75,2.257832863,DON (nmol/hr)
7,2.265,1.201865667,DON (nmol/hr)
7,4.975,0.312690758,DON (nmol/hr)
7,7.375,0.749946008,DON (nmol/hr)
7,8.995,,DON (nmol/hr)
7,12.745,,DON (nmol/hr)
7,18.665,,DON (nmol/hr)
8,0.64,15.82519891,DON (nmol/hr)
8,1.925,14.84266939,DON (nmol/hr)
8,4.97,2.779811406,DON (nmol/hr)
8,8.51,0.305834686,DON (nmol/hr)
8,13.69,,DON (nmol/hr)
8,20.395,,DON (nmol/hr)
9,2.45,1.365577124,DON (nmol/hr)
9,6.79,0.356236024,DON (nmol/hr)
9,9.9,0.804991955,DON (nmol/hr)
9,11.895,0.79002174,DON (nmol/hr)
9,13.21,0.480728573,DON (nmol/hr)
9,14.115,0.8196403,DON (nmol/hr)
9,18.365,0.139207116,DON (nmol/hr)
10,1.235,7.273061517,DON (nmol/hr)
10,4,11.67711337,DON (nmol/hr)
10,7.18,0.587850565,DON (nmol/hr)
10,10.43,0.264358112,DON (nmol/hr)
10,13.255,0.289521618,DON (nmol/hr)
10,15.38,0.196785592,DON (nmol/hr)
10,18.95,0.136811128,DON (nmol/hr)
10,22.62,0.131185787,DON (nmol/hr)
11,0.09,10.26209653,DON (nmol/hr)
11,0.84,29.68547277,DON (nmol/hr)
11,2.54,7.493151505,DON (nmol/hr)
