Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Qu_don_out	4.37	7.57181	9.35718
1_1	1	Qu_don_out	8.28	22.5081	20.1049
1_1	1	Qu_don_out	10.83	26.3508	25.2827
1_1	1	Qu_don_out	15.98	28.4837	31.5385
1_1	1	Qu_don_out	19.78	29.4301	33.7713
1_1	1	Qu_don_out	21.72	29.5078	34.4556

1_1	1	Qu_d3g_out	4.37	5.88897	4.82222
1_1	1	Qu_d3g_out	8.28	14.1767	10.3611
1_1	1	Qu_d3g_out	10.83	17.532	13.0294
1_1	1	Qu_d3g_out	15.98	20.574	16.2534
1_1	1	Qu_d3g_out	19.78	21.1548	17.404
1_1	1	Qu_d3g_out	21.72	21.1813	17.7567

1_1	1	Qu_d15g_out	4.37	17.6449	21.4771
1_1	1	Qu_d15g_out	8.28	48.51	46.146
1_1	1	Qu_d15g_out	10.83	60.1585	58.0302
1_1	1	Qu_d15g_out	15.98	69.0014	72.3889
1_1	1	Qu_d15g_out	19.78	69.8358	77.5136
1_1	1	Qu_d15g_out	21.72	70.8665	79.0843

1_1	1	Qu_don	0		0
1_1	1	Qu_don	0.1		0.00906695
1_1	1	Qu_don	0.2		0.0357279
1_1	1	Qu_don	0.3		0.0791916
1_1	1	Qu_don	0.4		0.138691
1_1	1	Qu_don	0.5		0.21349
1_1	1	Qu_don	0.6		0.302872
1_1	1	Qu_don	0.7		0.40615
1_1	1	Qu_don	0.8		0.522657
1_1	1	Qu_don	0.9		0.65175
1_1	1	Qu_don	1		0.792809
1_1	1	Qu_don	1.1		0.945232
1_1	1	Qu_don	1.2		1.10844
1_1	1	Qu_don	1.3		1.28188
1_1	1	Qu_don	1.4		1.46501
1_1	1	Qu_don	1.5		1.6573
1_1	1	Qu_don	1.6		1.85827
1_1	1	Qu_don	1.7		2.06742
1_1	1	Qu_don	1.8		2.28428
1_1	1	Qu_don	1.9		2.50842
1_1	1	Qu_don	2		2.73938
1_1	1	Qu_don	2.1		2.97677
1_1	1	Qu_don	2.2		3.22017
1_1	1	Qu_don	2.3		3.4692
1_1	1	Qu_don	2.4		3.72348
1_1	1	Qu_don	2.5		3.98266
1_1	1	Qu_don	2.6		4.24639
1_1	1	Qu_don	2.7		4.51433
1_1	1	Qu_don	2.8		4.78617
1_1	1	Qu_don	2.9		5.06159
1_1	1	Qu_don	3		5.3403
1_1	1	Qu_don	3.1		5.62202
1_1	1	Qu_don	3.2		5.90647
1_1	1	Qu_don	3.3		6.19338
1_1	1	Qu_don	3.4		6.48252
1_1	1	Qu_don	3.5		6.77362
1_1	1	Qu_don	3.6		7.06646
1_1	1	Qu_don	3.7		7.36083
1_1	1	Qu_don	3.8		7.65651
1_1	1	Qu_don	3.9		7.95329
1_1	1	Qu_don	4		8.25095
1_1	1	Qu_don	4.1		8.54935
1_1	1	Qu_don	4.2		8.84828
1_1	1	Qu_don	4.3		9.14756
1_1	1	Qu_don	4.4		9.44704
1_1	1	Qu_don	4.5		9.74657
1_1	1	Qu_don	4.6		10.046
1_1	1	Qu_don	4.7		10.3451
1_1	1	Qu_don	4.8		10.6439
1_1	1	Qu_don	4.9		10.9421
1_1	1	Qu_don	5		11.2397
1_1	1	Qu_don	5.1		11.5365
1_1	1	Qu_don	5.2		11.8324
1_1	1	Qu_don	5.3		12.1273
1_1	1	Qu_don	5.4		12.4211
1_1	1	Qu_don	5.5		12.7137
1_1	1	Qu_don	5.6		13.005
1_1	1	Qu_don	5.7		13.295
1_1	1	Qu_don	5.8		13.5835
1_1	1	Qu_don	5.9		13.8704
1_1	1	Qu_don	6		14.1557
1_1	1	Qu_don	6.1		14.4394
1_1	1	Qu_don	6.2		14.7212
1_1	1	Qu_don	6.3		15.0013
1_1	1	Qu_don	6.4		15.2795
1_1	1	Qu_don	6.5		15.5557
1_1	1	Qu_don	6.6		15.83
1_1	1	Qu_don	6.7		16.1022
1_1	1	Qu_don	6.8		16.3723
1_1	1	Qu_don	6.9		16.6403
1_1	1	Qu_don	7		16.9062
1_1	1	Qu_don	7.1		17.1698
1_1	1	Qu_don	7.2		17.4313
1_1	1	Qu_don	7.3		17.6904
1_1	1	Qu_don	7.4		17.9472
1_1	1	Qu_don	7.5		18.2018
1_1	1	Qu_don	7.6		18.4539
1_1	1	Qu_don	7.7		18.7037
1_1	1	Qu_don	7.8		18.9511
1_1	1	Qu_don	7.9		19.1962
1_1	1	Qu_don	8		19.4387
1_1	1	Qu_don	8.1		19.6789
1_1	1	Qu_don	8.2		19.9166
1_1	1	Qu_don	8.3		20.1518
1_1	1	Qu_don	8.4		20.3846
1_1	1	Qu_don	8.5		20.6148
1_1	1	Qu_don	8.6		20.8426
1_1	1	Qu_don	8.7		21.068
1_1	1	Qu_don	8.8		21.2908
1_1	1	Qu_don	8.9		21.5111
1_1	1	Qu_don	9		21.729
1_1	1	Qu_don	9.1		21.9443
1_1	1	Qu_don	9.2		22.1572
1_1	1	Qu_don	9.3		22.3676
1_1	1	Qu_don	9.4		22.5755
1_1	1	Qu_don	9.5		22.7809
1_1	1	Qu_don	9.6		22.9839
1_1	1	Qu_don	9.7		23.1844
1_1	1	Qu_don	9.8		23.3825
1_1	1	Qu_don	9.9		23.5781
1_1	1	Qu_don	10		23.7713
1_1	1	Qu_don	10.1		23.9621
1_1	1	Qu_don	10.2		24.1505
1_1	1	Qu_don	10.3		24.3364
1_1	1	Qu_don	10.4		24.52
1_1	1	Qu_don	10.5		24.7013
1_1	1	Qu_don	10.6		24.8801
1_1	1	Qu_don	10.7		25.0567
1_1	1	Qu_don	10.8		25.2309
1_1	1	Qu_don	10.9		25.4028
1_1	1	Qu_don	11		25.5724
1_1	1	Qu_don	11.1		25.7397
1_1	1	Qu_don	11.2		25.9048
1_1	1	Qu_don	11.3		26.0676
1_1	1	Qu_don	11.4		26.2282
1_1	1	Qu_don	11.5		26.3866
1_1	1	Qu_don	11.6		26.5428
1_1	1	Qu_don	11.7		26.6969
1_1	1	Qu_don	11.8		26.8488
1_1	1	Qu_don	11.9		26.9985
1_1	1	Qu_don	12		27.1462
