Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Qu_don_out	4.37	7.57181	11.5333
1_1	1	Qu_don_out	8.28	22.5081	21.9544
1_1	1	Qu_don_out	10.83	26.3508	25.9921
1_1	1	Qu_don_out	15.98	28.4837	29.8526
1_1	1	Qu_don_out	19.78	29.4301	30.8685
1_1	1	Qu_don_out	21.72	29.5078	31.1237

1_1	1	Qu_d3g_out	4.37	5.88897	4.91383
1_1	1	Qu_d3g_out	8.28	14.1767	9.3538
1_1	1	Qu_d3g_out	10.83	17.532	11.0741
1_1	1	Qu_d3g_out	15.98	20.574	12.7189
1_1	1	Qu_d3g_out	19.78	21.1548	13.1517
1_1	1	Qu_d3g_out	21.72	21.1813	13.2605

1_1	1	Qu_d15g_out	4.37	17.6449	27.2835
1_1	1	Qu_d15g_out	8.28	48.51	51.9359
1_1	1	Qu_d15g_out	10.83	60.1585	61.4875
1_1	1	Qu_d15g_out	15.98	69.0014	70.6201
1_1	1	Qu_d15g_out	19.78	69.8358	73.0235
1_1	1	Qu_d15g_out	21.72	70.8665	73.6271

1_1	1	Qu_don	0		0
1_1	1	Qu_don	0.1		0.0132707
1_1	1	Qu_don	0.2		0.0520585
1_1	1	Qu_don	0.3		0.114875
1_1	1	Qu_don	0.4		0.200298
1_1	1	Qu_don	0.5		0.306966
1_1	1	Qu_don	0.6		0.43358
1_1	1	Qu_don	0.7		0.578896
1_1	1	Qu_don	0.8		0.741726
1_1	1	Qu_don	0.9		0.920937
1_1	1	Qu_don	1		1.11544
1_1	1	Qu_don	1.1		1.32421
1_1	1	Qu_don	1.2		1.54625
1_1	1	Qu_don	1.3		1.78063
1_1	1	Qu_don	1.4		2.02644
1_1	1	Qu_don	1.5		2.28282
1_1	1	Qu_don	1.6		2.54897
1_1	1	Qu_don	1.7		2.8241
1_1	1	Qu_don	1.8		3.10746
1_1	1	Qu_don	1.9		3.39836
1_1	1	Qu_don	2		3.69613
1_1	1	Qu_don	2.1		4.00011
1_1	1	Qu_don	2.2		4.30971
1_1	1	Qu_don	2.3		4.62434
1_1	1	Qu_don	2.4		4.94346
1_1	1	Qu_don	2.5		5.26654
