iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkmratio(1)	M_lnkuDfrac(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkmratio(1)	SD_lnkuDfrac(1)	GSD_don(1)	GSD_d3g(1)	GSD_d15g(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkmratio(1.1)	lnkuDfrac(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkmratio(1.2)	lnkuDfrac(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkmratio(1.3)	lnkuDfrac(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkmratio(1.4)	lnkuDfrac(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkmratio(1.5)	lnkuDfrac(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkmratio(1.6)	lnkuDfrac(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkmratio(1.7)	lnkuDfrac(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkmratio(1.8)	lnkuDfrac(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnktot(1.9)	lnkmratio(1.9)	lnkuDfrac(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnktot(1.10)	lnkmratio(1.10)	lnkuDfrac(1.10)	lnFgutabs(1.11)	lnkgutelim(1.11)	lnktot(1.11)	lnkmratio(1.11)	lnkuDfrac(1.11)	lnFgutabs(1.12)	lnkgutelim(1.12)	lnktot(1.12)	lnkmratio(1.12)	lnkuDfrac(1.12)	lnFgutabs(1.13)	lnkgutelim(1.13)	lnktot(1.13)	lnkmratio(1.13)	lnkuDfrac(1.13)	lnFgutabs(1.14)	lnkgutelim(1.14)	lnktot(1.14)	lnkmratio(1.14)	lnkuDfrac(1.14)	lnFgutabs(1.15)	lnkgutelim(1.15)	lnktot(1.15)	lnkmratio(1.15)	lnkuDfrac(1.15)	lnFgutabs(1.16)	lnkgutelim(1.16)	lnktot(1.16)	lnkmratio(1.16)	lnkuDfrac(1.16)	LnPrior	LnData	LnPosterior
500	-1.36804	-0.337919	-1.10166	-1.63979	-1.37467	0.554505	1.10298	0.201892	0.499124	0.536935	1.6615	1.7142	1.3097	0.635851	-1.42869	-0.146343	1.25205	-0.228273	0.927504	-0.561213	0.39865	0.00250254	1.50901	0.451991	0.4573	0.25739	-0.405178	0.418377	1.41981	-0.75918	-0.348997	-1.94841	0.363355	2.29893	1.11926	-0.522068	0.8589	-0.960105	1.8782	0.350892	0.0853795	2.33068	-0.676255	1.19718	1.10998	-1.18815	0.634362	-1.7615	1.39294	0.983255	-0.482522	-0.853846	0.554922	1.15313	0.254395	0.43342	0.349746	-2.05343	1.87406	-2.37417	-1.72379	0.169586	0.986723	1.87399	0.1273	0.0767404	0.436931	1.15822	2.33315	-0.496986	1.09772	0.00100751	-0.61746	1.55758	0.952823	0.904358	-0.252164	0.0957972	2.11013	0.772816	-0.1746	-0.474462	0.350825	1.39413	-0.0257006	-0.72375	-0.175238	0.427193	0.857501	-1.14105	0.74818	-0.946389	0.333634	-1.345965e+002	-1.285349e+003	-1.419945e+003
550	-1.31102	-0.228048	-1.24097	-1.62697	-1.39071	0.579703	0.98031	0.64625	0.452425	0.603693	1.57547	1.77806	1.25987	0.933942	-1.25767	-1.16874	1.46096	-0.0603224	0.721749	0.230246	-0.454766	0.233132	1.19062	0.506259	1.41584	-0.513956	-0.0767516	0.152978	1.9509	1.30119	-1.07413	-2.11174	0.00277678	2.05047	0.573659	0.685222	-0.0109039	-1.13455	1.61361	1.34923	1.28407	1.1335	-1.1464	1.35172	1.25611	-0.301455	1.52574	-2.08204	1.59879	-1.32575	1.22417	-1.76608	0.804405	1.42726	0.638432	-1.38271	0.818933	-1.87064	1.5985	-2.4317	0.380725	-0.406159	1.14032	1.90594	-0.170036	-0.542874	0.569911	0.676021	2.17697	2.28768	0.705524	-0.364898	-0.440452	1.51871	-1.28007	0.14786	-0.376522	-0.0814324	2.10427	1.45585	1.18082	-0.406302	0.577953	1.18536	-0.436716	0.760867	0.254637	0.21257	0.510274	-0.268529	-0.458246	-0.771218	0.37423	-1.420728e+002	-1.286840e+003	-1.428913e+003
600	-1.16476	0.0323478	-1.36074	-1.97306	-1.40384	0.562486	1.32906	0.456997	0.671565	0.415861	1.61449	1.82075	1.24985	0.719542	-1.83314	0.992349	1.30297	-0.0694186	0.612339	-0.427585	-0.425357	0.619982	1.80324	0.143824	0.682133	0.347908	-0.119408	0.774398	1.43329	0.553937	-1.24667	-0.396686	0.208624	1.99909	0.89459	-0.579197	0.292726	-1.04378	1.62302	0.782319	1.21976	1.88745	-1.04229	1.14992	-0.80221	0.0333602	0.558239	-2.57449	1.41718	-0.801438	1.44227	-0.241896	1.59347	0.527461	2.6261	-0.602538	0.908172	-2.2066	1.6181	-2.3404	-0.804563	-0.00942734	1.61278	1.9301	-1.21179	-0.461854	1.3014	1.40739	2.0282	-0.407174	0.727875	0.321405	0.0211405	1.35608	1.24587	1.05798	0.184788	1.28602	1.93205	-0.5259	1.24791	0.0796125	0.573493	1.00283	1.63567	0.553148	0.674909	1.13251	0.548038	-0.103478	-0.968199	-0.379587	1.01387	-1.431654e+002	-1.277282e+003	-1.420448e+003
650	-1.1296	-0.104429	-1.42796	-1.57535	-1.35448	0.520509	1.12446	0.373107	0.449423	0.431578	1.61953	1.80647	1.21146	0.258469	-1.10493	-0.0997675	0.973221	-0.00689928	0.984571	0.0617194	-1.82362	-0.42856	1.75483	0.183062	0.634214	0.712821	-1.46525	0.218996	1.51421	-1.12306	-0.245534	-3.58505	0.584345	2.15888	0.252641	-0.404765	-0.578326	-0.849184	1.68979	1.38819	2.20852	1.95476	-1.52817	1.63861	1.00894	-1.66525	0.820347	-3.03359	1.37047	-0.479354	1.36896	-0.793345	0.961615	0.839515	0.508301	-0.773633	0.895138	-1.89765	1.63324	-2.51048	-0.91509	-0.142192	1.13798	1.66382	-0.733633	0.810879	0.222837	 1.19	2.06469	-0.649006	1.64597	0.0533028	-0.862144	1.37514	0.0254844	1.36448	-0.0950169	0.799018	1.54653	-0.171137	2.2304	-0.504332	0.287258	0.882764	-0.128993	1.66967	-0.364466	0.137272	0.771691	0.27789	-1.73938	-1.08845	0.633252	-1.511203e+002	-1.262170e+003	-1.413290e+003
700	-1.14689	-0.414114	-1.27988	-1.61613	-1.27843	0.481084	0.894402	0.247498	0.498244	0.404879	1.55094	1.85314	1.27096	0.155161	-0.723347	-1.44944	0.501763	-0.37284	0.676824	-0.0543633	-0.644444	0.304028	1.81695	0.27511	0.302002	-0.749407	-1.03872	0.172991	1.38926	0.399138	-1.28446	-2.46965	0.731132	1.94145	1.84531	0.605387	0.925004	-1.09625	1.3841	0.220726	3.19107	1.24037	-1.25656	0.90497	-0.798511	1.1371	-0.13171	-2.31679	1.47886	0.0148678	0.748192	-0.471002	0.918642	0.683193	2.45258	-0.152863	0.800314	-2.30551	1.55158	-2.76102	0.167645	0.648233	1.0896	1.86207	-0.323198	-0.378682	0.0500443	1.14116	2.25672	1.19688	1.02769	-0.0608773	-0.743216	1.88073	0.77317	-0.0725733	-0.220315	0.716543	2.05063	0.32657	0.839556	-0.189553	0.544514	1.18261	0.383312	1.27173	-0.110667	0.598519	0.403227	0.0134048	-0.805809	-1.94023	0.335595	-1.437230e+002	-1.282069e+003	-1.425792e+003
750	-1.00143	-0.59841	-0.935273	-1.5492	-1.33745	0.435303	0.632257	0.503393	0.290233	0.463963	1.62936	1.94844	1.31254	0.159418	-0.430074	-1.3254	1.40867	0.136679	0.272632	-0.785187	0.73151	0.36931	1.55233	0.0299149	0.400983	-0.316533	-0.685916	0.906567	0.942204	-1.38056	0.900806	-0.961498	0.138751	2.18858	0.820937	0.757906	-0.759281	-1.11059	1.33182	-0.148498	0.672474	1.66154	-1.15768	1.12506	0.79275	-1.13392	0.193079	-3.292	1.3295	1.64265	-0.752776	0.217715	0.812586	0.0198261	-0.587612	1.89906	1.54554	-1.7138	1.17649	-2.98831	-0.641772	-0.885348	0.743671	2.01846	0.325642	-2.0273	-0.0813146	0.993179	2.11854	-0.360358	0.815074	0.136784	-0.200753	1.20171	0.609003	0.403814	0.083104	0.768938	2.01011	0.17197	0.32626	-1.02462	0.158649	1.22353	-0.850147	0.97206	0.618783	0.93944	0.587989	-0.0547318	-1.64539	-2.14495	0.00105092	-1.393323e+002	-1.300204e+003	-1.439536e+003
800	-1.00052	-0.549713	-1.18524	-1.75354	-1.33009	0.429911	0.883558	0.656848	0.418127	0.568075	1.59064	1.79222	1.23295	-0.0663087	-1.51406	0.0579673	1.27294	-0.0566932	0.0604144	0.0579487	0.0243686	-0.38461	1.3394	-0.321109	-0.825278	1.37068	-1.08028	0.184492	0.889755	-1.78893	2.48963	-2.5725	0.0507821	1.77297	0.553914	0.601562	0.0935461	-0.951264	1.45995	0.580895	1.78616	2.54871	-1.13039	1.11709	-0.126078	-0.0602707	1.33867	-2.56166	1.14965	0.194174	0.145602	-0.774766	0.297255	0.465279	-0.406797	-0.401426	1.74151	-1.46868	1.50243	-2.61717	-0.266498	0.369318	0.870988	2.19558	-1.81666	-0.725645	1.24168	0.837589	2.11327	-0.256601	0.877438	-0.169061	-0.794369	1.40482	0.650191	0.182403	-0.108253	0.493584	2.23157	0.722944	0.0389224	0.208139	0.485731	1.079	-0.821786	0.906455	-0.0109347	-0.0894567	0.228327	0.247793	-0.870595	-0.933391	0.342867	-1.391518e+002	-1.267984e+003	-1.407136e+003
850	-0.958082	-0.100871	-1.08324	-1.76555	-1.36737	0.461521	0.727411	0.388308	0.573862	0.637972	1.70994	1.97051	1.24227	-0.116515	-2.38394	-0.955546	0.726592	-0.328413	0.327371	-0.314968	-0.912161	0.423744	1.32693	-0.400794	1.06501	0.904556	-0.0501119	0.281919	1.05682	0.120871	-1.62599	-2.62607	-0.181837	1.59258	-0.570749	0.208818	0.42409	-0.962753	1.37476	0.321164	0.542917	1.40031	-0.833603	0.884626	0.988132	-1.24774	0.562056	-2.08374	1.68995	0.651389	-0.852238	-0.744603	0.704988	0.624107	-0.554876	-1.30126	1.22254	-1.16175	1.3842	-3.11873	-2.41241	-0.73399	0.871067	1.81692	-1.31801	-1.53813	0.8321	0.594182	2.01016	-1.21644	-0.274879	0.285264	-0.780651	1.26085	0.793508	-0.174716	-0.0657886	0.731426	1.55797	0.75781	0.746038	-0.584824	0.196382	0.785538	0.0493894	0.616107	-0.0226766	0.0792112	-0.182235	-0.0987121	-0.654959	-0.821462	0.715466	-1.349062e+002	-1.282152e+003	-1.417058e+003
900	-1.00574	-0.511897	-0.966908	-1.53471	-1.53165	0.455537	1.04647	0.347613	0.420631	0.746476	1.59927	1.81976	1.27031	0.734713	-2.06661	-0.486914	1.30357	0.349971	0.42993	0.380822	-1.57294	-0.346247	1.27677	-0.373053	0.89606	-1.11259	-0.884006	0.102921	1.1615	1.10228	-2.85902	-2.40167	0.558983	1.78679	-0.461923	-0.225233	-0.104646	-0.28853	1.58395	-0.567654	1.15015	2.47382	-0.934763	0.976821	0.190413	-0.976041	0.769021	-1.67057	0.986295	0.755011	-0.408876	-0.923297	0.64313	0.349905	0.597381	-1.64018	-0.0336993	-1.16442	1.66753	-2.27274	-2.13387	0.608802	0.894287	1.43844	-0.233143	-0.365127	0.0379276	0.91268	2.08433	-0.322153	0.0636643	-0.0606517	0.173848	1.42476	-0.351379	-0.150337	-0.54019	0.969216	1.69045	-0.0870881	0.748861	-0.23802	0.0614963	1.05359	1.05764	-0.35256	-0.0759064	0.236567	0.253927	0.0602887	-1.42899	-1.20019	0.547085	-1.350197e+002	-1.276513e+003	-1.411533e+003
950	-0.927035	-0.171641	-1.00332	-1.64072	-1.48379	0.400273	1.25777	0.11084	0.509897	0.709993	1.54564	1.76377	1.29749	0.604737	-1.9718	-0.745401	1.02562	-0.0531757	0.013533	-0.178946	-1.72396	0.101958	1.17459	-0.460996	0.832288	-0.687404	-0.792202	0.504183	1.09708	-1.35395	1.2041	-2.75295	0.593977	1.9466	0.0808587	-1.09153	-0.336216	-0.501702	1.52179	1.24302	0.176362	0.854498	-0.673078	0.532479	0.440152	0.54096	0.982107	-1.28652	1.00651	0.781207	-1.5139	-1.81059	0.590847	0.302966	0.585439	-1.54288	0.579741	-1.14055	1.48513	-2.44671	-1.82937	-0.169993	0.954238	1.63978	-0.0109189	-1.00691	0.418998	0.876994	2.15062	0.0388117	-0.930905	0.454375	-0.422178	1.26228	0.696749	0.194206	0.0632455	0.380309	1.93774	-0.82327	-0.506346	0.249703	0.533832	1.11751	2.05613	-0.718373	-0.947398	0.603582	-0.0664245	-0.625594	-1.03773	-1.41642	0.420395	-1.349491e+002	-1.281903e+003	-1.416852e+003
1000	-0.88614	-0.223607	-1.02644	-1.6983	-1.49585	0.425636	1.26969	0.434509	0.421544	0.708937	1.59273	1.99227	1.21996	0.0967809	-1.13264	-2.02796	1.27278	-0.0291047	0.12125	0.0880872	-1.39102	0.00904314	1.27989	-0.62241	1.37737	0.025924	-0.399461	0.570361	1.17653	1.22734	-1.82324	-1.79432	0.462367	1.76535	-0.0213742	-0.347143	-0.723083	-0.219189	1.13377	0.876847	1.03337	0.293656	-0.249073	0.652501	0.663266	-0.848146	1.26139	-1.78079	0.903243	-0.165678	-0.0157766	-0.93588	0.652529	0.0400097	1.07689	-1.17855	0.647542	-0.911359	1.6237	-2.79088	-0.0129571	-0.135038	1.02578	1.93623	-1.24868	-1.61894	-0.0901592	1.08671	2.00268	1.32386	1.04383	-0.729804	-0.089284	0.986634	2.00125	0.0608365	0.426932	0.277795	1.69279	2.4002	0.347095	0.663586	0.57878	0.292912	-0.662437	0.466504	-0.150547	0.490931	-0.258134	0.137883	-0.866029	-0.749417	0.517531	-1.331158e+002	-1.278403e+003	-1.411518e+003
