Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Qu_don_out	4.37	7.57181	13.3001
1_1	1	Qu_don_out	8.28	22.5081	25.068
1_1	1	Qu_don_out	10.83	26.3508	29.5497
1_1	1	Qu_don_out	15.98	28.4837	33.7675
1_1	1	Qu_don_out	19.78	29.4301	34.8577
1_1	1	Qu_don_out	21.72	29.5078	35.1288

1_1	1	Qu_d3g_out	4.37	5.88897	6.81648
1_1	1	Qu_d3g_out	8.28	14.1767	12.8477
1_1	1	Qu_d3g_out	10.83	17.532	15.1447
1_1	1	Qu_d3g_out	15.98	20.574	17.3064
1_1	1	Qu_d3g_out	19.78	21.1548	17.8651
1_1	1	Qu_d3g_out	21.72	21.1813	18.004

1_1	1	Qu_d15g_out	4.37	17.6449	21.5449
1_1	1	Qu_d15g_out	8.28	48.51	40.608
1_1	1	Qu_d15g_out	10.83	60.1585	47.8679
1_1	1	Qu_d15g_out	15.98	69.0014	54.7004
1_1	1	Qu_d15g_out	19.78	69.8358	56.4663
1_1	1	Qu_d15g_out	21.72	70.8665	56.9055

1_1	1	Qu_don	0		0
1_1	1	Qu_don	0.1		0.0155502
1_1	1	Qu_don	0.2		0.0609735
1_1	1	Qu_don	0.3		0.134489
1_1	1	Qu_don	0.4		0.234395
1_1	1	Qu_don	0.5		0.359069
1_1	1	Qu_don	0.6		0.50696
1_1	1	Qu_don	0.7		0.676581
1_1	1	Qu_don	0.8		0.866521
1_1	1	Qu_don	0.9		1.07543
1_1	1	Qu_don	1		1.30203
1_1	1	Qu_don	1.1		1.54508
1_1	1	Qu_don	1.2		1.80342
1_1	1	Qu_don	1.3		2.07594
1_1	1	Qu_don	1.4		2.36156
1_1	1	Qu_don	1.5		2.65928
1_1	1	Qu_don	1.6		2.96814
1_1	1	Qu_don	1.7		3.28722
1_1	1	Qu_don	1.8		3.61565
1_1	1	Qu_don	1.9		3.9526
1_1	1	Qu_don	2		4.29727
1_1	1	Qu_don	2.1		4.64893
1_1	1	Qu_don	2.2		5.00685
1_1	1	Qu_don	2.3		5.37037
1_1	1	Qu_don	2.4		5.73885
1_1	1	Qu_don	2.5		6.11167
1_1	1	Qu_don	2.6		6.48826
1_1	1	Qu_don	2.7		6.86807
1_1	1	Qu_don	2.8		7.25059
1_1	1	Qu_don	2.9		7.63533
1_1	1	Qu_don	3		8.02182
1_1	1	Qu_don	3.1		8.40963
1_1	1	Qu_don	3.2		8.79835
1_1	1	Qu_don	3.3		9.18758
1_1	1	Qu_don	3.4		9.57696
1_1	1	Qu_don	3.5		9.96615
1_1	1	Qu_don	3.6		10.3548
1_1	1	Qu_don	3.7		10.7426
1_1	1	Qu_don	3.8		11.1294
1_1	1	Qu_don	3.9		11.5147
1_1	1	Qu_don	4		11.8984
1_1	1	Qu_don	4.1		12.2802
1_1	1	Qu_don	4.2		12.6599
1_1	1	Qu_don	4.3		13.0374
1_1	1	Qu_don	4.4		13.4123
1_1	1	Qu_don	4.5		13.7845
1_1	1	Qu_don	4.6		14.1539
1_1	1	Qu_don	4.7		14.5203
1_1	1	Qu_don	4.8		14.8836
1_1	1	Qu_don	4.9		15.2436
1_1	1	Qu_don	5		15.6002
1_1	1	Qu_don	5.1		15.9533
1_1	1	Qu_don	5.2		16.3028
1_1	1	Qu_don	5.3		16.6487
1_1	1	Qu_don	5.4		16.9907
1_1	1	Qu_don	5.5		17.3289
1_1	1	Qu_don	5.6		17.6631
1_1	1	Qu_don	5.7		17.9934
1_1	1	Qu_don	5.8		18.3196
1_1	1	Qu_don	5.9		18.6417
1_1	1	Qu_don	6		18.9597
1_1	1	Qu_don	6.1		19.2736
1_1	1	Qu_don	6.2		19.5832
1_1	1	Qu_don	6.3		19.8887
1_1	1	Qu_don	6.4		20.1899
1_1	1	Qu_don	6.5		20.4869
1_1	1	Qu_don	6.6		20.7796
1_1	1	Qu_don	6.7		21.068
1_1	1	Qu_don	6.8		21.3522
1_1	1	Qu_don	6.9		21.6321
1_1	1	Qu_don	7		21.9078
1_1	1	Qu_don	7.1		22.1792
1_1	1	Qu_don	7.2		22.4464
1_1	1	Qu_don	7.3		22.7094
1_1	1	Qu_don	7.4		22.9681
1_1	1	Qu_don	7.5		23.2227
1_1	1	Qu_don	7.6		23.4731
1_1	1	Qu_don	7.7		23.7194
1_1	1	Qu_don	7.8		23.9616
1_1	1	Qu_don	7.9		24.1998
1_1	1	Qu_don	8		24.4338
1_1	1	Qu_don	8.1		24.6639
1_1	1	Qu_don	8.2		24.89
1_1	1	Qu_don	8.3		25.1122
1_1	1	Qu_don	8.4		25.3304
1_1	1	Qu_don	8.5		25.5448
1_1	1	Qu_don	8.6		25.7554
1_1	1	Qu_don	8.7		25.9622
1_1	1	Qu_don	8.8		26.1652
1_1	1	Qu_don	8.9		26.3645
1_1	1	Qu_don	9		26.5602
1_1	1	Qu_don	9.1		26.7523
1_1	1	Qu_don	9.2		26.9408
1_1	1	Qu_don	9.3		27.1258
1_1	1	Qu_don	9.4		27.3073
1_1	1	Qu_don	9.5		27.4854
1_1	1	Qu_don	9.6		27.66
1_1	1	Qu_don	9.7		27.8314
1_1	1	Qu_don	9.8		27.9994
1_1	1	Qu_don	9.9		28.1642
1_1	1	Qu_don	10		28.3258
1_1	1	Qu_don	10.1		28.4843
1_1	1	Qu_don	10.2		28.6396
1_1	1	Qu_don	10.3		28.7919
1_1	1	Qu_don	10.4		28.9411
1_1	1	Qu_don	10.5		29.0874
1_1	1	Qu_don	10.6		29.2308
1_1	1	Qu_don	10.7		29.3713
1_1	1	Qu_don	10.8		29.5089
1_1	1	Qu_don	10.9		29.6438
1_1	1	Qu_don	11		29.776
1_1	1	Qu_don	11.1		29.9054
1_1	1	Qu_don	11.2		30.0322
1_1	1	Qu_don	11.3		30.1564
1_1	1	Qu_don	11.4		30.278
1_1	1	Qu_don	11.5		30.3971
1_1	1	Qu_don	11.6		30.5138
1_1	1	Qu_don	11.7		30.628
1_1	1	Qu_don	11.8		30.7398
1_1	1	Qu_don	11.9		30.8493
1_1	1	Qu_don	12		30.9565
1_1	1	Qu_don	12.1		31.0614
1_1	1	Qu_don	12.2		31.1641
1_1	1	Qu_don	12.3		31.2646
1_1	1	Qu_don	12.4		31.363
1_1	1	Qu_don	12.5		31.4593
1_1	1	Qu_don	12.6		31.5535
1_1	1	Qu_don	12.7		31.6457
1_1	1	Qu_don	12.8		31.7359
