Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Qu_don	12.7		20.0987
1_1	1	Qu_don	12.8		20.1649
1_1	1	Qu_don	12.9		20.23
1_1	1	Qu_don	13		20.2941
1_1	1	Qu_don	13.1		20.3571
1_1	1	Qu_don	13.2		20.4191
1_1	1	Qu_don	13.3		20.48
1_1	1	Qu_don	13.4		20.54
1_1	1	Qu_don	13.5		20.5989
1_1	1	Qu_don	13.6		20.6569
1_1	1	Qu_don	13.7		20.714
1_1	1	Qu_don	13.8		20.7701
1_1	1	Qu_don	13.9		20.8253
1_1	1	Qu_don	14		20.8796
1_1	1	Qu_don	14.1		20.933
1_1	1	Qu_don	14.2		20.9856
1_1	1	Qu_don	14.3		21.0372
1_1	1	Qu_don	14.4		21.088
1_1	1	Qu_don	14.5		21.138
1_1	1	Qu_don	14.6		21.1872
1_1	1	Qu_don	14.7		21.2356
1_1	1	Qu_don	14.8		21.2831
1_1	1	Qu_don	14.9		21.3299
1_1	1	Qu_don	15		21.3759
1_1	1	Qu_don	15.1		21.4212
1_1	1	Qu_don	15.2		21.4657
1_1	1	Qu_don	15.3		21.5095
1_1	1	Qu_don	15.4		21.5525
1_1	1	Qu_don	15.5		21.5949
1_1	1	Qu_don	15.6		21.6365
1_1	1	Qu_don	15.7		21.6775
1_1	1	Qu_don	15.8		21.7178
1_1	1	Qu_don	15.9		21.7574
1_1	1	Qu_don	16		21.7964
1_1	1	Qu_don	16.1		21.8347
1_1	1	Qu_don	16.2		21.8724
1_1	1	Qu_don	16.3		21.9095
1_1	1	Qu_don	16.4		21.946
1_1	1	Qu_don	16.5		21.9819
1_1	1	Qu_don	16.6		22.0172
1_1	1	Qu_don	16.7		22.0519
1_1	1	Qu_don	16.8		22.086
1_1	1	Qu_don	16.9		22.1196
1_1	1	Qu_don	17		22.1526
1_1	1	Qu_don	17.1		22.1851
1_1	1	Qu_don	17.2		22.217
1_1	1	Qu_don	17.3		22.2484
1_1	1	Qu_don	17.4		22.2793
1_1	1	Qu_don	17.5		22.3097
1_1	1	Qu_don	17.6		22.3396
1_1	1	Qu_don	17.7		22.369
1_1	1	Qu_don	17.8		22.3979
1_1	1	Qu_don	17.9		22.4263
1_1	1	Qu_don	18		22.4543
1_1	1	Qu_don	18.1		22.4818
1_1	1	Qu_don	18.2		22.5088
1_1	1	Qu_don	18.3		22.5354
1_1	1	Qu_don	18.4		22.5616
1_1	1	Qu_don	18.5		22.5873
1_1	1	Qu_don	18.6		22.6126
1_1	1	Qu_don	18.7		22.6375
1_1	1	Qu_don	18.8		22.662
1_1	1	Qu_don	18.9		22.6861
1_1	1	Qu_don	19		22.7098
1_1	1	Qu_don	19.1		22.733
1_1	1	Qu_don	19.2		22.756
1_1	1	Qu_don	19.3		22.7785
1_1	1	Qu_don	19.4		22.8006
1_1	1	Qu_don	19.5		22.8224
1_1	1	Qu_don	19.6		22.8439
1_1	1	Qu_don	19.7		22.8649
1_1	1	Qu_don	19.8		22.8857
1_1	1	Qu_don	19.9		22.9061
1_1	1	Qu_don	20		22.9261
1_1	1	Qu_don	20.1		22.9458
1_1	1	Qu_don	20.2		22.9652
1_1	1	Qu_don	20.3		22.9843
1_1	1	Qu_don	20.4		23.0031
1_1	1	Qu_don	20.5		23.0215
1_1	1	Qu_don	20.6		23.0397
1_1	1	Qu_don	20.7		23.0575
1_1	1	Qu_don	20.8		23.0751
1_1	1	Qu_don	20.9		23.0923
1_1	1	Qu_don	21		23.1093
1_1	1	Qu_don	21.1		23.126
1_1	1	Qu_don	21.2		23.1424
1_1	1	Qu_don	21.3		23.1586
1_1	1	Qu_don	21.4		23.1745
1_1	1	Qu_don	21.5		23.1901
1_1	1	Qu_don	21.6		23.2055
1_1	1	Qu_don	21.7		23.2206
1_1	1	Qu_don	21.8		23.2354
1_1	1	Qu_don	21.9		23.2501
1_1	1	Qu_don	22		23.2644
1_1	1	Qu_don	22.1		23.2786
1_1	1	Qu_don	22.2		23.2925
1_1	1	Qu_don	22.3		23.3062
1_1	1	Qu_don	22.4		23.3196
1_1	1	Qu_don	22.5		23.3329
1_1	1	Qu_don	22.6		23.3459
1_1	1	Qu_don	22.7		23.3587
1_1	1	Qu_don	22.8		23.3713
1_1	1	Qu_don	22.9		23.3836
1_1	1	Qu_don	23		23.3958
1_1	1	Qu_don	23.1		23.4078
1_1	1	Qu_don	23.2		23.4196
1_1	1	Qu_don	23.3		23.4311
1_1	1	Qu_don	23.4		23.4425
1_1	1	Qu_don	23.5		23.4537
1_1	1	Qu_don	23.6		23.4648
1_1	1	Qu_don	23.7		23.4756
1_1	1	Qu_don	23.8		23.4862
1_1	1	Qu_don	23.9		23.4967
1_1	1	Qu_don	24		23.507
1_1	1	Qu_don	24.1		23.5172
1_1	1	Qu_don	24.2		23.5272
1_1	1	Qu_don	24.3		23.537
1_1	1	Qu_don	24.4		23.5466
1_1	1	Qu_don	24.5		23.5561
1_1	1	Qu_don	24.6		23.5654
1_1	1	Qu_don	24.7		23.5746
1_1	1	Qu_don	24.8		23.5836
1_1	1	Qu_don	24.9		23.5925
1_1	1	Qu_don	25		23.6012

1_1	1	Qu_d3g	0		0
1_1	1	Qu_d3g	0.1		0.00860675
1_1	1	Qu_d3g	0.2		0.0335645
1_1	1	Qu_d3g	0.3		0.0736374
1_1	1	Qu_d3g	0.4		0.127669
1_1	1	Qu_d3g	0.5		0.194572
1_1	1	Qu_d3g	0.6		0.273328
1_1	1	Qu_d3g	0.7		0.362984
1_1	1	Qu_d3g	0.8		0.462647
1_1	1	Qu_d3g	0.9		0.57148
1_1	1	Qu_d3g	1		0.688697
1_1	1	Qu_d3g	1.1		0.813565
1_1	1	Qu_d3g	1.2		0.945398
1_1	1	Qu_d3g	1.3		1.08355
1_1	1	Qu_d3g	1.4		1.22742
1_1	1	Qu_d3g	1.5		1.37645
1_1	1	Qu_d3g	1.6		1.53011
1_1	1	Qu_d3g	1.7		1.68791
1_1	1	Qu_d3g	1.8		1.8494
1_1	1	Qu_d3g	1.9		2.01413
1_1	1	Qu_d3g	2		2.18172
1_1	1	Qu_d3g	2.1		2.35179
1_1	1	Qu_d3g	2.2		2.52399
1_1	1	Qu_d3g	2.3		2.698
1_1	1	Qu_d3g	2.4		2.87351
1_1	1	Qu_d3g	2.5		3.05025
1_1	1	Qu_d3g	2.6		3.22795
1_1	1	Qu_d3g	2.7		3.40638
1_1	1	Qu_d3g	2.8		3.5853
1_1	1	Qu_d3g	2.9		3.7645
1_1	1	Qu_d3g	3		3.9438
1_1	1	Qu_d3g	3.1		4.123
1_1	1	Qu_d3g	3.2		4.30196
1_1	1	Qu_d3g	3.3		4.4805
1_1	1	Qu_d3g	3.4		4.65849
1_1	1	Qu_d3g	3.5		4.83581
1_1	1	Qu_d3g	3.6		5.01232
1_1	1	Qu_d3g	3.7		5.18791
1_1	1	Qu_d3g	3.8		5.36249
1_1	1	Qu_d3g	3.9		5.53596
1_1	1	Qu_d3g	4		5.70823
1_1	1	Qu_d3g	4.1		5.87924
1_1	1	Qu_d3g	4.2		6.0489
1_1	1	Qu_d3g	4.3		6.21715
1_1	1	Qu_d3g	4.4		6.38394
1_1	1	Qu_d3g	4.5		6.54921
1_1	1	Qu_d3g	4.6		6.71291
1_1	1	Qu_d3g	4.7		6.87501
1_1	1	Qu_d3g	4.8		7.03546
1_1	1	Qu_d3g	4.9		7.19424
1_1	1	Qu_d3g	5		7.35131
1_1	1	Qu_d3g	5.1		7.50665
1_1	1	Qu_d3g	5.2		7.66023
1_1	1	Qu_d3g	5.3		7.81204
1_1	1	Qu_d3g	5.4		7.96207
1_1	1	Qu_d3g	5.5		8.11029
1_1	1	Qu_d3g	5.6		8.2567
1_1	1	Qu_d3g	5.7		8.4013
1_1	1	Qu_d3g	5.8		8.54408
1_1	1	Qu_d3g	5.9		8.68503
1_1	1	Qu_d3g	6		8.82415
1_1	1	Qu_d3g	6.1		8.96145
1_1	1	Qu_d3g	6.2		9.09692
1_1	1	Qu_d3g	6.3		9.23058
1_1	1	Qu_d3g	6.4		9.36242
1_1	1	Qu_d3g	6.5		9.49246
1_1	1	Qu_d3g	6.6		9.6207
1_1	1	Qu_d3g	6.7		9.74715
1_1	1	Qu_d3g	6.8		9.87182
1_1	1	Qu_d3g	6.9		9.99473
1_1	1	Qu_d3g	7		10.1159
1_1	1	Qu_d3g	7.1		10.2353
1_1	1	Qu_d3g	7.2		10.353
1_1	1	Qu_d3g	7.3		10.4689
1_1	1	Qu_d3g	7.4		10.5832
1_1	1	Qu_d3g	7.5		10.6958
1_1	1	Qu_d3g	7.6		10.8067
1_1	1	Qu_d3g	7.7		10.916
1_1	1	Qu_d3g	7.8		11.0236
1_1	1	Qu_d3g	7.9		11.1296
1_1	1	Qu_d3g	8		11.2341
1_1	1	Qu_d3g	8.1		11.3369
1_1	1	Qu_d3g	8.2		11.4382
1_1	1	Qu_d3g	8.3		11.5379
1_1	1	Qu_d3g	8.4		11.6361
1_1	1	Qu_d3g	8.5		11.7328
1_1	1	Qu_d3g	8.6		11.828
1_1	1	Qu_d3g	8.7		11.9217
1_1	1	Qu_d3g	8.8		12.014
1_1	1	Qu_d3g	8.9		12.1048
1_1	1	Qu_d3g	9		12.1942
1_1	1	Qu_d3g	9.1		12.2822
1_1	1	Qu_d3g	9.2		12.3689
1_1	1	Qu_d3g	9.3		12.4542
1_1	1	Qu_d3g	9.4		12.5381
1_1	1	Qu_d3g	9.5		12.6207
1_1	1	Qu_d3g	9.6		12.702
1_1	1	Qu_d3g	9.7		12.782
1_1	1	Qu_d3g	9.8		12.8608
1_1	1	Qu_d3g	9.9		12.9383
1_1	1	Qu_d3g	10		13.0145
1_1	1	Qu_d3g	10.1		13.0896
1_1	1	Qu_d3g	10.2		13.1634
1_1	1	Qu_d3g	10.3		13.2361
1_1	1	Qu_d3g	10.4		13.3076
1_1	1	Qu_d3g	10.5		13.378
1_1	1	Qu_d3g	10.6		13.4472
1_1	1	Qu_d3g	10.7		13.5153
1_1	1	Qu_d3g	10.8		13.5823
1_1	1	Qu_d3g	10.9		13.6482
1_1	1	Qu_d3g	11		13.7131
1_1	1	Qu_d3g	11.1		13.7769
1_1	1	Qu_d3g	11.2		13.8397
1_1	1	Qu_d3g	11.3		13.9015
1_1	1	Qu_d3g	11.4		13.9623
1_1	1	Qu_d3g	11.5		14.0221
1_1	1	Qu_d3g	11.6		14.0809
1_1	1	Qu_d3g	11.7		14.1388
1_1	1	Qu_d3g	11.8		14.1957
1_1	1	Qu_d3g	11.9		14.2517
1_1	1	Qu_d3g	12		14.3068
1_1	1	Qu_d3g	12.1		14.361
1_1	1	Qu_d3g	12.2		14.4143
1_1	1	Qu_d3g	12.3		14.4668
1_1	1	Qu_d3g	12.4		14.5184
1_1	1	Qu_d3g	12.5		14.5691
1_1	1	Qu_d3g	12.6		14.619
1_1	1	Qu_d3g	12.7		14.6682
1_1	1	Qu_d3g	12.8		14.7165
1_1	1	Qu_d3g	12.9		14.764
1_1	1	Qu_d3g	13		14.8107
1_1	1	Qu_d3g	13.1		14.8567
1_1	1	Qu_d3g	13.2		14.9019
1_1	1	Qu_d3g	13.3		14.9464
1_1	1	Qu_d3g	13.4		14.9902
1_1	1	Qu_d3g	13.5		15.0332
1_1	1	Qu_d3g	13.6		15.0755
1_1	1	Qu_d3g	13.7		15.1172
1_1	1	Qu_d3g	13.8		15.1581
1_1	1	Qu_d3g	13.9		15.1984
1_1	1	Qu_d3g	14		15.2381
1_1	1	Qu_d3g	14.1		15.277
1_1	1	Qu_d3g	14.2		15.3154
1_1	1	Qu_d3g	14.3		15.3531
1_1	1	Qu_d3g	14.4		15.3902
1_1	1	Qu_d3g	14.5		15.4266
1_1	1	Qu_d3g	14.6		15.4625
1_1	1	Qu_d3g	14.7		15.4978
1_1	1	Qu_d3g	14.8		15.5325
1_1	1	Qu_d3g	14.9		15.5667
1_1	1	Qu_d3g	15		15.6002
1_1	1	Qu_d3g	15.1		15.6333
1_1	1	Qu_d3g	15.2		15.6658
1_1	1	Qu_d3g	15.3		15.6977
1_1	1	Qu_d3g	15.4		15.7291
1_1	1	Qu_d3g	15.5		15.76
1_1	1	Qu_d3g	15.6		15.7904
1_1	1	Qu_d3g	15.7		15.8203
1_1	1	Qu_d3g	15.8		15.8498
1_1	1	Qu_d3g	15.9		15.8787
1_1	1	Qu_d3g	16		15.9071
1_1	1	Qu_d3g	16.1		15.9351
1_1	1	Qu_d3g	16.2		15.9626
1_1	1	Qu_d3g	16.3		15.9897
1_1	1	Qu_d3g	16.4		16.0163
1_1	1	Qu_d3g	16.5		16.0425
1_1	1	Qu_d3g	16.6		16.0682
1_1	1	Qu_d3g	16.7		16.0936
1_1	1	Qu_d3g	16.8		16.1185
1_1	1	Qu_d3g	16.9		16.143
1_1	1	Qu_d3g	17		16.1671
1_1	1	Qu_d3g	17.1		16.1908
1_1	1	Qu_d3g	17.2		16.2141
1_1	1	Qu_d3g	17.3		16.237
1_1	1	Qu_d3g	17.4		16.2596
1_1	1	Qu_d3g	17.5		16.2817
1_1	1	Qu_d3g	17.6		16.3035
1_1	1	Qu_d3g	17.7		16.325
1_1	1	Qu_d3g	17.8		16.3461
1_1	1	Qu_d3g	17.9		16.3668
1_1	1	Qu_d3g	18		16.3872
1_1	1	Qu_d3g	18.1		16.4073
1_1	1	Qu_d3g	18.2		16.4271
1_1	1	Qu_d3g	18.3		16.4465
1_1	1	Qu_d3g	18.4		16.4656
1_1	1	Qu_d3g	18.5		16.4843
1_1	1	Qu_d3g	18.6		16.5028
1_1	1	Qu_d3g	18.7		16.521
1_1	1	Qu_d3g	18.8		16.5388
1_1	1	Qu_d3g	18.9		16.5564
1_1	1	Qu_d3g	19		16.5737
1_1	1	Qu_d3g	19.1		16.5907
1_1	1	Qu_d3g	19.2		16.6074
1_1	1	Qu_d3g	19.3		16.6239
1_1	1	Qu_d3g	19.4		16.64
1_1	1	Qu_d3g	19.5		16.6559
1_1	1	Qu_d3g	19.6		16.6716
1_1	1	Qu_d3g	19.7		16.6869
1_1	1	Qu_d3g	19.8		16.7021
1_1	1	Qu_d3g	19.9		16.717
1_1	1	Qu_d3g	20		16.7316
1_1	1	Qu_d3g	20.1		16.746
1_1	1	Qu_d3g	20.2		16.7601
1_1	1	Qu_d3g	20.3		16.7741
1_1	1	Qu_d3g	20.4		16.7878
1_1	1	Qu_d3g	20.5		16.8012
1_1	1	Qu_d3g	20.6		16.8145
1_1	1	Qu_d3g	20.7		16.8275
1_1	1	Qu_d3g	20.8		16.8403
1_1	1	Qu_d3g	20.9		16.8529
1_1	1	Qu_d3g	21		16.8653
1_1	1	Qu_d3g	21.1		16.8775
1_1	1	Qu_d3g	21.2		16.8895
1_1	1	Qu_d3g	21.3		16.9013
1_1	1	Qu_d3g	21.4		16.9129
1_1	1	Qu_d3g	21.5		16.9243
1_1	1	Qu_d3g	21.6		16.9355
1_1	1	Qu_d3g	21.7		16.9465
1_1	1	Qu_d3g	21.8		16.9574
1_1	1	Qu_d3g	21.9		16.968
1_1	1	Qu_d3g	22		16.9785
1_1	1	Qu_d3g	22.1		16.9888
1_1	1	Qu_d3g	22.2		16.999
1_1	1	Qu_d3g	22.3		17.009
1_1	1	Qu_d3g	22.4		17.0188
1_1	1	Qu_d3g	22.5		17.0284
1_1	1	Qu_d3g	22.6		17.0379
1_1	1	Qu_d3g	22.7		17.0473
1_1	1	Qu_d3g	22.8		17.0565
1_1	1	Qu_d3g	22.9		17.0655
1_1	1	Qu_d3g	23		17.0744
1_1	1	Qu_d3g	23.1		17.0831
1_1	1	Qu_d3g	23.2		17.0917
1_1	1	Qu_d3g	23.3		17.1002
1_1	1	Qu_d3g	23.4		17.1085
1_1	1	Qu_d3g	23.5		17.1167
1_1	1	Qu_d3g	23.6		17.1247
1_1	1	Qu_d3g	23.7		17.1326
