Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Qu_don_out	4.37	7.57181	11.1045
1_1	1	Qu_don_out	8.28	22.5081	20.7069
1_1	1	Qu_don_out	10.83	26.3508	24.4016
1_1	1	Qu_don_out	15.98	28.4837	28.0347
1_1	1	Qu_don_out	19.78	29.4301	29.0684
1_1	1	Qu_don_out	21.72	29.5078	29.3481

1_1	1	Qu_d3g_out	4.37	5.88897	4.80694
1_1	1	Qu_d3g_out	8.28	14.1767	8.96369
1_1	1	Qu_d3g_out	10.83	17.532	10.5631
1_1	1	Qu_d3g_out	15.98	20.574	12.1358
1_1	1	Qu_d3g_out	19.78	21.1548	12.5833
1_1	1	Qu_d3g_out	21.72	21.1813	12.7043

1_1	1	Qu_d15g_out	4.37	17.6449	28.986
1_1	1	Qu_d15g_out	8.28	48.51	54.0513
1_1	1	Qu_d15g_out	10.83	60.1585	63.6956
1_1	1	Qu_d15g_out	15.98	69.0014	73.179
1_1	1	Qu_d15g_out	19.78	69.8358	75.8773
1_1	1	Qu_d15g_out	21.72	70.8665	76.6073

1_1	1	Qu_don	0		0
1_1	1	Qu_don	0.1		0.0134742
1_1	1	Qu_don	0.2		0.0527662
1_1	1	Qu_don	0.3		0.116239
1_1	1	Qu_don	0.4		0.202339
1_1	1	Qu_don	0.5		0.309584
1_1	1	Qu_don	0.6		0.436571
1_1	1	Qu_don	0.7		0.581963
1_1	1	Qu_don	0.8		0.744486
1_1	1	Qu_don	0.9		0.922934
1_1	1	Qu_don	1		1.11616
1_1	1	Qu_don	1.1		1.32308
1_1	1	Qu_don	1.2		1.54266
1_1	1	Qu_don	1.3		1.77392
1_1	1	Qu_don	1.4		2.01592
1_1	1	Qu_don	1.5		2.26778
1_1	1	Qu_don	1.6		2.52868
1_1	1	Qu_don	1.7		2.79781
1_1	1	Qu_don	1.8		3.07443
1_1	1	Qu_don	1.9		3.35782
1_1	1	Qu_don	2		3.64732
1_1	1	Qu_don	2.1		3.94228
1_1	1	Qu_don	2.2		4.2421
1_1	1	Qu_don	2.3		4.54622
1_1	1	Qu_don	2.4		4.8541
1_1	1	Qu_don	2.5		5.16522
1_1	1	Qu_don	2.6		5.47912
1_1	1	Qu_don	2.7		5.79533
1_1	1	Qu_don	2.8		6.11344
1_1	1	Qu_don	2.9		6.43304
1_1	1	Qu_don	3		6.75375
1_1	1	Qu_don	3.1		7.07522
1_1	1	Qu_don	3.2		7.39712
1_1	1	Qu_don	3.3		7.71912
1_1	1	Qu_don	3.4		8.04093
1_1	1	Qu_don	3.5		8.36229
1_1	1	Qu_don	3.6		8.68294
1_1	1	Qu_don	3.7		9.00263
1_1	1	Qu_don	3.8		9.32113
1_1	1	Qu_don	3.9		9.63824
1_1	1	Qu_don	4		9.95376
1_1	1	Qu_don	4.1		10.2675
1_1	1	Qu_don	4.2		10.5793
1_1	1	Qu_don	4.3		10.889
1_1	1	Qu_don	4.4		11.1965
1_1	1	Qu_don	4.5		11.5015
1_1	1	Qu_don	4.6		11.8041
1_1	1	Qu_don	4.7		12.104
1_1	1	Qu_don	4.8		12.4012
1_1	1	Qu_don	4.9		12.6956
1_1	1	Qu_don	5		12.9871
1_1	1	Qu_don	5.1		13.2755
1_1	1	Qu_don	5.2		13.561
1_1	1	Qu_don	5.3		13.8433
1_1	1	Qu_don	5.4		14.1224
1_1	1	Qu_don	5.5		14.3982
1_1	1	Qu_don	5.6		14.6708
1_1	1	Qu_don	5.7		14.9401
1_1	1	Qu_don	5.8		15.206
1_1	1	Qu_don	5.9		15.4685
1_1	1	Qu_don	6		15.7276
1_1	1	Qu_don	6.1		15.9833
1_1	1	Qu_don	6.2		16.2355
1_1	1	Qu_don	6.3		16.4843
1_1	1	Qu_don	6.4		16.7296
1_1	1	Qu_don	6.5		16.9714
1_1	1	Qu_don	6.6		17.2098
1_1	1	Qu_don	6.7		17.4447
1_1	1	Qu_don	6.8		17.6762
1_1	1	Qu_don	6.9		17.9041
1_1	1	Qu_don	7		18.1287
1_1	1	Qu_don	7.1		18.3498
1_1	1	Qu_don	7.2		18.5675
1_1	1	Qu_don	7.3		18.7818
1_1	1	Qu_don	7.4		18.9927
1_1	1	Qu_don	7.5		19.2003
1_1	1	Qu_don	7.6		19.4045
1_1	1	Qu_don	7.7		19.6054
1_1	1	Qu_don	7.8		19.8031
1_1	1	Qu_don	7.9		19.9974
1_1	1	Qu_don	8		20.1886
1_1	1	Qu_don	8.1		20.3766
1_1	1	Qu_don	8.2		20.5613
1_1	1	Qu_don	8.3		20.743
1_1	1	Qu_don	8.4		20.9215
1_1	1	Qu_don	8.5		21.097
1_1	1	Qu_don	8.6		21.2694
1_1	1	Qu_don	8.7		21.4389
1_1	1	Qu_don	8.8		21.6053
1_1	1	Qu_don	8.9		21.7689
1_1	1	Qu_don	9		21.9295
1_1	1	Qu_don	9.1		22.0873
1_1	1	Qu_don	9.2		22.2422
1_1	1	Qu_don	9.3		22.3944
1_1	1	Qu_don	9.4		22.5438
1_1	1	Qu_don	9.5		22.6905
1_1	1	Qu_don	9.6		22.8345
1_1	1	Qu_don	9.7		22.9759
1_1	1	Qu_don	9.8		23.1147
1_1	1	Qu_don	9.9		23.2509
1_1	1	Qu_don	10		23.3846
1_1	1	Qu_don	10.1		23.5158
1_1	1	Qu_don	10.2		23.6445
1_1	1	Qu_don	10.3		23.7709
1_1	1	Qu_don	10.4		23.8948
1_1	1	Qu_don	10.5		24.0164
1_1	1	Qu_don	10.6		24.1358
1_1	1	Qu_don	10.7		24.2528
1_1	1	Qu_don	10.8		24.3676
1_1	1	Qu_don	10.9		24.4802
1_1	1	Qu_don	11		24.5907
1_1	1	Qu_don	11.1		24.699
1_1	1	Qu_don	11.2		24.8053
1_1	1	Qu_don	11.3		24.9095
1_1	1	Qu_don	11.4		25.0116
1_1	1	Qu_don	11.5		25.1118
1_1	1	Qu_don	11.6		25.21
1_1	1	Qu_don	11.7		25.3063
1_1	1	Qu_don	11.8		25.4007
1_1	1	Qu_don	11.9		25.4933
1_1	1	Qu_don	12		25.5841
1_1	1	Qu_don	12.1		25.673
1_1	1	Qu_don	12.2		25.7602
1_1	1	Qu_don	12.3		25.8457
1_1	1	Qu_don	12.4		25.9294
1_1	1	Qu_don	12.5		26.0116
1_1	1	Qu_don	12.6		26.092
1_1	1	Qu_don	12.7		26.1709
1_1	1	Qu_don	12.8		26.2482
