"iter" "M_lnFgutabs.1." "M_lnkgutelim.1." "M_lnktot.1." "M_lnkmratio.1." "M_lnkuDfrac.1." "SD_lnFgutabs.1." "SD_lnkgutelim.1." "SD_lnktot.1." "SD_lnkmratio.1." "SD_lnkuDfrac.1." "GSD_don.1." "GSD_d3g.1." "GSD_d15g.1." "lnFgutabs.1.1." "lnkgutelim.1.1." "lnktot.1.1." "lnkmratio.1.1." "lnkuDfrac.1.1." "lnFgutabs.1.2." "lnkgutelim.1.2." "lnktot.1.2." "lnkmratio.1.2." "lnkuDfrac.1.2." "lnFgutabs.1.3." "lnkgutelim.1.3." "lnktot.1.3." "lnkmratio.1.3." "lnkuDfrac.1.3." "lnFgutabs.1.4." "lnkgutelim.1.4." "lnktot.1.4." "lnkmratio.1.4." "lnkuDfrac.1.4." "lnFgutabs.1.5." "lnkgutelim.1.5." "lnktot.1.5." "lnkmratio.1.5." "lnkuDfrac.1.5." "lnFgutabs.1.6." "lnkgutelim.1.6." "lnktot.1.6." "lnkmratio.1.6." "lnkuDfrac.1.6." "lnFgutabs.1.7." "lnkgutelim.1.7." "lnktot.1.7." "lnkmratio.1.7." "lnkuDfrac.1.7." "lnFgutabs.1.8." "lnkgutelim.1.8." "lnktot.1.8." "lnkmratio.1.8." "lnkuDfrac.1.8." "lnFgutabs.1.9." "lnkgutelim.1.9." "lnktot.1.9." "lnkmratio.1.9." "lnkuDfrac.1.9." "lnFgutabs.1.10." "lnkgutelim.1.10." "lnktot.1.10." "lnkmratio.1.10." "lnkuDfrac.1.10." "lnFgutabs.1.11." "lnkgutelim.1.11." "lnktot.1.11." "lnkmratio.1.11." "lnkuDfrac.1.11." "lnFgutabs.1.12." "lnkgutelim.1.12." "lnktot.1.12." "lnkmratio.1.12." "lnkuDfrac.1.12." "lnFgutabs.1.13." "lnkgutelim.1.13." "lnktot.1.13." "lnkmratio.1.13." "lnkuDfrac.1.13." "lnFgutabs.1.14." "lnkgutelim.1.14." "lnktot.1.14." "lnkmratio.1.14." "lnkuDfrac.1.14." "lnFgutabs.1.15." "lnkgutelim.1.15." "lnktot.1.15." "lnkmratio.1.15." "lnkuDfrac.1.15." "lnFgutabs.1.16." "lnkgutelim.1.16." "lnktot.1.16." "lnkmratio.1.16." "lnkuDfrac.1.16." "LnPrior" "LnData" "LnPosterior"
36200 -0.393286 -0.275983 -1.1577 -1.42333 -1.30004 0.339978 0.695831 0.54047 0.819655 0.422239 1.56819 1.77408 1.26382 -0.0741867 -2.26559 -2.72221 -0.071871 0.306903 -1.01167 -0.126682 -0.736933 -0.209527 1.71319 -1.6445 1.49095 -0.694784 -0.663989 0.145157 -0.97174 -0.454917 -0.757305 -1.32731 0.727663 0.83372 0.396853 -0.499746 -0.405884 -1.35386 0.14702 1.59577 0.594323 0.991172 -1.04694 -0.46402 0.461295 -0.855153 0.236855 -2.97374 0.101097 -1.18612 0.665155 -1.03635 1.1082 -1.27527 1.64369 -0.831991 0.409893 -2.26001 0.28781 -2.9353 -1.48797 0.00329997 0.944616 0.789049 -0.976407 -0.471617 -0.523492 1.25197 0.958957 2.5795 0.745475 -0.356101 -0.947734 -0.0182017 0.593581 0.220021 -0.413106 0.74134 0.874332 1.08555 0.88448 -0.57044 0.483829 -0.31995 0.746151 0.0703653 -0.127884 -0.228318 -1.65083 -1.01429 0.303206 -0.782329 0.687449 -135.0971 -1274.739 -1409.836
31100 -0.421257 -1.17038 -0.821015 -1.91718 -1.40357 0.291921 0.996265 0.482068 0.607174 0.49652 1.50795 1.69726 1.27185 -0.815145 -1.92422 1.85029 0.782679 -0.199297 -1.32294 0.456448 -0.954457 1.26834 1.58238 -2.1765 1.89548 -0.921396 -0.480142 0.671786 -0.0808479 -0.429829 -0.748739 -1.80389 0.69253 0.770163 0.873611 0.156336 0.0617259 -0.43583 0.143658 1.24891 1.44881 1.40839 -1.16192 -0.224933 0.428725 -0.672114 1.00295 -2.80772 -0.349086 0.851925 -0.102426 -0.19114 1.11999 -0.972498 0.806739 -1.1781 1.14346 -1.77726 0.246079 -1.95143 -0.288589 1.14364 1.29544 0.502196 0.550019 -0.721298 1.08478 1.06502 0.936734 -0.704024 1.25685 0.598174 -0.865187 0.568808 0.233751 -0.0800449 -0.110658 0.934556 1.08673 0.0516113 -0.0387262 0.435114 0.0836645 -0.0736404 -0.0949803 -0.936385 0.463229 0.110956 -1.82485 0.139191 -0.0738104 -0.405904 0.682647 -128.5003 -1279.939 -1408.439
41250 -0.489921 -0.468252 -1.24976 -1.46885 -1.27525 0.369278 0.830672 0.434086 0.319656 0.518014 1.58396 1.94069 1.2201 -0.621788 -2.17191 -0.252081 0.179464 0.118919 -1.17359 -0.0472347 -0.100654 -0.0303393 1.22603 -1.76624 0.558956 0.00909068 -0.475023 -0.18291 0.118434 -0.164011 -0.234312 -1.98636 0.411558 1.20143 0.144197 0.21564 -0.0478494 -1.02915 0.217213 -0.150256 1.18115 1.51441 -1.09907 -0.182494 0.739223 -0.718141 -0.36996 -2.80442 0.00166217 0.322623 1.38438 -1.43688 0.921683 -0.807808 0.71029 1.03431 0.0288067 -1.97551 0.279164 -2.22792 -1.14029 -1.03787 0.753801 0.786053 -0.384831 -0.692704 -1.01599 1.04316 1.02826 0.610725 2.13488 0.091096 -0.085026 0.477405 0.926366 0.128828 0.472851 0.472011 0.919651 -0.312557 1.12647 -0.861902 0.324346 -0.216765 -0.145269 0.588365 0.5966 0.115209 -1.3248 -0.372813 -0.00537182 -2.1509 0.235477 -123.7252 -1281.048 -1404.773
30000 -0.654648 -0.854049 -1.03922 -1.63763 -1.26965 0.293508 0.770544 0.0469378 0.412184 0.525185 1.52301 1.71456 1.27365 -0.711153 -0.838225 1.39428 0.742719 0.187501 -0.597336 0.364943 -1.06746 0.337654 1.44099 -1.16243 0.399694 -0.65977 -0.833307 0.142088 0.524754 -1.28674 -0.409417 -1.99302 0.631725 1.81269 -1.32127 0.0299528 -0.782571 -1.16931 0.942795 0.0652716 0.642637 1.20762 -0.91084 0.823486 0.0128255 0.670249 1.02049 -3.64029 1.36521 0.196983 -1.61528 -0.703718 1.03717 -0.705747 2.0672 0.419635 1.34615 -1.69367 0.729888 -2.51513 -1.24534 -0.251079 0.710337 1.62426 -0.280732 -0.18261 -0.612755 0.987451 1.98741 0.766125 0.36587 0.850055 -0.589114 0.654764 -0.00108741 1.74691 -0.203285 0.496278 2.02805 0.744838 1.07135 -0.938155 0.380075 0.747916 -0.635081 0.182385 -0.631724 0.0753069 -1.2307 -0.189657 -0.384583 -1.01821 0.224378 -132.6854 -1293.944 -1426.629
44100 -0.47272 -0.540769 -1.21429 -1.59234 -1.46589 0.278596 1.12734 0.322742 0.406638 0.553753 1.53448 1.78552 1.20874 -0.821395 -1.54385 -1.30524 1.30691 -0.185828 -0.860532 0.636179 -1.86586 0.266509 1.68785 -2.0728 1.39724 -0.687308 -0.657044 0.578391 0.625584 0.0906215 -1.50523 -2.14062 0.297373 1.16818 -0.456406 0.476818 -0.141562 -0.161709 0.167854 2.27966 1.61619 2.03017 -0.523106 0.134276 -0.187438 -0.62546 0.657536 -2.11809 -0.129393 1.196 0.0783219 -1.04663 0.869441 -0.906894 0.655266 -0.404015 0.499445 -1.16891 0.775308 -1.98417 -1.63603 1.47695 1.11389 0.325931 0.302416 -0.290988 0.130199 0.833115 1.54806 -0.501979 1.3629 -0.260212 -0.701108 0.449943 -0.209991 -0.775566 -0.279071 0.703246 1.04811 -0.455721 0.335997 -0.0159597 0.376564 -0.194107 0.682491 -0.52092 0.404802 0.632525 -2.14932 -0.28845 0.986959 -1.94753 0.709687 -131.1186 -1282.012 -1413.131
38450 -0.493499 -0.492614 -1.0499 -1.83876 -1.2883 0.279129 0.883018 0.378867 0.745367 0.676819 1.51467 1.74433 1.28068 -1.11907 -0.979967 -1.97606 0.909085 -0.41484 -1.9824 -0.141708 -0.322418 0.0939632 1.03684 -2.08992 0.488782 -0.589241 0.418145 0.0312151 -0.165424 -0.205699 -1.78076 -1.61293 0.114533 1.3469 1.12205 -0.360155 0.173146 -0.657037 0.785492 0.598511 -0.0771178 1.50107 -1.20148 0.815622 0.619095 -2.33355 0.882449 -2.01504 0.5593 0.459716 -0.550424 -0.122861 0.529942 -0.511369 -0.746418 -1.08394 1.35755 -1.37656 0.43663 -2.90322 -0.355958 0.400871 0.489415 0.936082 0.636616 -1.0848 0.555645 0.6536 1.69479 -1.0782 -0.0175368 0.288797 -0.592106 0.543875 -1.37601 1.57504 -0.457906 0.357834 0.961603 1.66329 1.17562 -0.25762 -0.311021 -0.100313 -0.227599 1.98078 0.792549 0.563854 -1.30838 -1.11277 0.0473231 -0.508841 0.114388 -131.3129 -1278.627 -1409.94
45150 -0.377192 -0.944368 -0.999043 -1.77391 -1.52098 0.401267 0.812329 0.203815 0.627034 0.653507 1.53925 1.83363 1.29868 -1.60926 -0.880309 -1.23559 0.905497 0.417226 -1.08598 0.221273 -0.443308 0.444734 1.41414 -1.91926 0.236852 -0.074146 0.137337 0.0708689 -0.251467 0.620548 -1.75282 -1.45743 0.272725 0.799795 -0.999824 0.538832 0.0192122 -0.717081 0.0405416 1.76662 2.18786 1.83227 -0.732527 -0.31522 -0.1291 1.08435 0.855115 -2.01767 0.278695 0.768714 -0.190358 -0.686342 0.862758 -0.736175 0.278415 1.01991 0.270423 -1.40244 -0.0653112 -2.41846 -1.42168 0.0483194 1.08981 0.214478 0.371152 0.0982193 0.521112 0.847082 0.911311 0.123533 1.29844 0.0368708 -0.140862 0.238152 0.845487 0.0239239 0.490367 1.15468 0.795555 -0.595667 -0.242818 0.545679 0.38822 -0.310433 1.9215 0.519543 0.486684 0.0913241 -1.54898 -0.483862 1.92698 -0.831913 0.618469 -124.7419 -1286.732 -1411.474
34150 -0.336828 -0.382639 -1.47886 -1.57264 -0.964122 0.302602 1.20222 0.525646 0.614944 0.597135 1.70661 1.74369 1.22236 -1.90093 -1.66391 1.82225 0.770292 -0.914133 -1.74016 0.276133 -0.291791 0.46515 0.545219 -2.03087 3.19551 -0.555372 -0.291689 -0.43135 0.0553515 -1.03068 0.0346661 -1.81044 -0.751114 1.04709 0.685574 0.0246751 0.279411 -1.5242 0.309839 1.45117 0.717257 1.2986 -1.12533 -0.19176 0.801203 -0.830239 0.102714 -2.1315 0.522417 -1.2374 0.853936 -0.71465 0.303767 -1.17235 -0.907779 1.5528 0.485675 -2.24375 0.124603 -1.99226 -0.1121 0.500411 0.205765 0.882287 -0.818529 -1.02588 0.513239 0.169822 1.07157 -1.55248 1.04463 -0.186129 -1.02091 0.0756549 -0.512918 1.1441 0.121749 0.178729 0.815052 -0.759234 0.545745 -0.0488715 -0.475726 -0.537921 1.07828 1.30476 -1.07029 0.0126983 -1.33539 0.691683 -1.2926 -0.75889 0.0168085 -133.831 -1282.381 -1416.212
28600 -0.574807 -1.17734 -0.916767 -1.62506 -1.40549 0.323908 0.491186 0.651704 0.607647 0.582332 1.55516 1.85111 1.27675 -0.929162 -0.532532 -0.726906 0.559576 -0.106553 -0.695866 1.24116 -1.01868 0.605083 1.40608 -1.23244 0.693059 0.554734 -0.386418 0.906965 -0.293848 0.565372 -0.437679 -1.12724 0.453477 1.66145 0.353262 -0.252415 -0.352766 -0.540858 0.886718 -0.754993 0.57719 1.00319 -1.39269 -0.200743 -1.2045 1.37781 0.0563323 -2.18729 1.01143 -0.814916 0.217896 -0.408844 0.624754 -0.117929 1.56847 0.377029 1.22775 -1.8085 0.321709 -2.30199 -0.765143 -0.382849 0.734138 1.39879 0.342156 -1.06551 0.163651 1.03425 1.46282 1.66172 1.35241 0.172939 -0.648383 0.289855 0.140253 1.07407 -0.302701 0.838356 0.961419 -0.765522 1.53913 -0.581647 0.616038 0.10814 1.5199 0.132875 -0.0932593 0.855957 -1.37642 -0.281249 0.235612 -1.31571 0.449935 -122.7161 -1290.353 -1413.069
25150 -0.528632 -0.60674 -1.29506 -1.68472 -1.26919 0.283216 1.16382 0.340157 0.332524 0.504019 1.68801 1.7331 1.24406 -0.500288 -1.49239 -0.824829 0.870057 -0.166212 -1.23657 -0.658754 2.16187 1.00517 1.35042 -1.56637 0.485081 1.19048 -0.615843 0.549878 0.522246 -0.71766 -0.257509 -1.25877 0.246294 1.30392 -0.466959 0.396519 -0.0828343 -0.854389 0.771945 0.712236 2.17907 1.16509 -1.30978 0.0685407 0.309151 -0.582562 1.19901 -2.51025 0.48205 0.0137706 -0.818091 -0.677419 0.409387 -0.0836266 0.50154 -2.17485 1.24604 -1.97754 0.689783 -2.07728 -0.496199 0.390098 0.525603 1.35824 -0.496914 -1.3686 0.489902 0.554162 1.568 -1.11586 1.45551 -0.0314522 -1.28107 0.656939 -0.589666 1.13666 -0.192003 0.70855 1.163 -0.186974 -0.0306447 -1.23774 0.137745 -0.442181 0.61657 1.73934 0.0168077 -0.0435937 -1.80307 0.562798 -0.61088 -1.71629 0.037505 -131.4815 -1290.225 -1421.707
