iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkmratio(1)	M_lnkeDfrac(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkmratio(1)	SD_lnkeDfrac(1)	GSD_don(1)	GSD_d3g(1)	GSD_d15g(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkmratio(1.1)	lnkeDfrac(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkmratio(1.2)	lnkeDfrac(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkmratio(1.3)	lnkeDfrac(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkmratio(1.4)	lnkeDfrac(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkmratio(1.5)	lnkeDfrac(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkmratio(1.6)	lnkeDfrac(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkmratio(1.7)	lnkeDfrac(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkmratio(1.8)	lnkeDfrac(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnktot(1.9)	lnkmratio(1.9)	lnkeDfrac(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnktot(1.10)	lnkmratio(1.10)	lnkeDfrac(1.10)	lnFgutabs(1.11)	lnkgutelim(1.11)	lnktot(1.11)	lnkmratio(1.11)	lnkeDfrac(1.11)	lnFgutabs(1.12)	lnkgutelim(1.12)	lnktot(1.12)	lnkmratio(1.12)	lnkeDfrac(1.12)	lnFgutabs(1.13)	lnkgutelim(1.13)	lnktot(1.13)	lnkmratio(1.13)	lnkeDfrac(1.13)	lnFgutabs(1.14)	lnkgutelim(1.14)	lnktot(1.14)	lnkmratio(1.14)	lnkeDfrac(1.14)	lnFgutabs(1.15)	lnkgutelim(1.15)	lnktot(1.15)	lnkmratio(1.15)	lnkeDfrac(1.15)	lnFgutabs(1.16)	lnkgutelim(1.16)	lnktot(1.16)	lnkmratio(1.16)	lnkeDfrac(1.16)	LnPrior	LnData	LnPosterior
910	-0.385563	-0.850063	-1.16819	-1.61062	-1.28998	0.295682	0.604953	0.225287	0.405951	0.400368	1.56253	1.72761	1.28607	-1.40933	-0.978368	-1.4383	1.1349	-0.409543	-1.68247	0.428249	-0.340748	-0.333352	1.56855	-2.20054	1.17479	-0.0684396	-0.687153	0.492321	-0.326086	-0.97354	0.660444	-3.05873	0.0316498	0.618816	-0.319997	0.227995	0.102916	-0.717353	0.87364	-0.216038	-1.02657	2.07917	-1.93941	-0.51796	-0.00420719	0.481171	0.935953	-2.92433	0.33548	0.669012	-1.24802	-1.39409	0.603517	-1.40401	0.59298	-0.0921852	1.58142	-1.84628	0.0641699	-2.04923	-2.1673	0.512232	1.13422	0.580429	-0.128725	-0.262405	-0.0449838	1.19713	1.12429	-0.165795	-0.245844	-0.40126	-0.739271	0.199222	0.928279	1.15213	-0.303963	1.33348	1.11443	0.671284	-0.430601	-0.2532	0.161505	-0.11326	0.0807856	0.705324	-0.337917	0.50945	-1.93721	-0.0147303	-0.266754	-1.75884	0.00988916	-1.367882e+02	-1.283123e+03	-1.419911e+03
920	-0.414096	-0.926168	-1.09139	-1.6715	-1.30609	0.305627	0.578991	0.222699	0.329496	0.416988	1.57595	1.87064	1.28078	-1.78381	-1.91652	1.72176	1.19533	-0.0443312	-1.51787	-0.0612564	-0.384047	1.03847	1.58071	-2.39083	1.22459	-0.0684396	-0.976843	0.113323	-0.351684	-0.64421	-1.08983	-1.99064	0.181882	0.741446	-0.664135	-0.0289716	-0.105802	-1.07905	0.261362	0.131306	1.69668	3.05465	-1.40953	-0.342509	0.00603459	-0.223891	1.01191	-3.13782	0.341353	0.921843	-0.61148	-1.40707	1.1584	-1.04105	-0.339437	-0.899384	1.82705	-1.83709	0.200013	-2.78644	-1.9786	-0.41143	1.43119	0.409263	1.37537	-1.77937	0.0464278	1.23267	1.25874	-0.243148	1.64146	0.206767	-1.10056	0.00128916	-0.379297	2.43316	-1.15902	0.621936	1.18765	1.09371	-0.294663	0.296065	0.536387	-0.42835	0.0807856	0.378997	-1.41819	0.602275	-1.71859	-0.443269	1.26478	-1.10654	0.445772	-1.492447e+02	-1.275698e+03	-1.424943e+03
930	-0.407716	-1.08268	-1.01744	-1.42538	-1.34201	0.292985	0.484543	0.251124	0.291209	0.376868	1.50318	2.01741	1.3352	-0.978478	-1.91652	-1.82485	1.37174	-1.24653	-1.18558	-0.0661254	-1.06075	-0.618342	1.90885	-2.10147	0.518864	-0.0684396	-1.61015	0.533445	-0.483816	0.426328	-2.04508	-1.66794	1.02719	0.62473	-0.751108	-0.280091	-0.733415	-1.59954	0.192977	-0.661087	1.61881	1.27312	-1.38573	-0.809418	-0.470565	1.77809	0.913653	-3.52838	-0.190744	0.646471	0.416892	-0.643156	0.806795	-0.551432	0.323146	-3.40462	1.17198	-2.23241	0.216496	-2.72463	-1.47505	-0.623183	1.66575	0.50997	1.79451	-1.31057	-0.685141	0.990902	0.847118	0.68091	-0.535571	-0.0525319	-0.480422	0.293638	0.410724	1.59126	-0.998136	0.828685	1.32093	1.36451	-0.661632	-0.406736	0.143209	-0.0128029	0.229705	-0.454529	0.0786137	0.602275	-1.88626	-0.598833	-0.24283	-2.22223	0.445772	-1.489819e+02	-1.301633e+03	-1.450615e+03
940	-0.416733	-1.1776	-1.03337	-1.82539	-1.27944	0.345514	0.47813	0.209877	0.329055	0.396229	1.47792	1.91558	1.2814	-1.22777	-2.39219	-0.56967	2.04904	0.126091	-1.0541	0.795929	-0.240572	0.390233	1.76722	-1.40612	0.79528	-0.0684396	0.224515	0.849904	-0.431179	0.0448091	-0.717542	-1.54759	-0.0683738	0.535819	-0.598697	0.151248	-1.13232	-0.881075	0.260572	2.93717	1.39568	0.922352	-1.5864	-0.46175	2.01228	-0.6021	0.985759	-3.51555	0.0757633	0.646471	1.45402	-0.0908719	0.938187	-1.36035	1.34218	-0.908525	1.28139	-1.81829	-0.176746	-1.9723	-1.30207	1.16975	1.25641	0.137129	0.176466	0.881814	0.180377	0.861469	0.913538	-0.145468	1.76499	0.468146	-0.628706	-0.0480775	0.224748	1.5915	-0.126683	1.22112	1.11274	-0.141017	-0.700137	0.352062	-0.308754	-0.0376412	-1.05671	-0.291904	0.291709	-0.129402	-1.65701	0.276893	-0.0626075	-1.71594	0.244882	-1.385125e+02	-1.298788e+03	-1.437301e+03
950	-0.371311	-1.39724	-0.985919	-1.65165	-1.25447	0.349867	0.418704	0.354444	0.159588	0.409361	1.67896	1.88331	1.28351	-1.30827	-1.24435	-0.298957	0.646082	-0.65612	-1.0541	0.795929	-0.41606	-0.135391	1.57172	-1.93958	2.23091	0.0592023	-1.1912	0.15264	-0.255795	0.828783	-0.651231	0.175777	0.918051	0.871	-0.0777243	-0.858731	1.20026	-1.2256	0.114422	-0.322633	1.39568	-0.637117	-0.806134	-0.46175	1.28553	-0.847144	0.525862	-3.18309	-0.29864	0.516695	1.45402	-0.827609	0.264033	-1.31792	1.65386	-1.15613	-1.25015	-2.17021	-0.197485	-2.35581	-1.19088	1.2388	1.08206	0.378399	-0.577519	0.449134	0.0929472	1.2018	0.91993	0.764674	0.981591	-1.20171	-0.332599	0.102453	-0.145645	0.173362	-0.875319	1.02682	0.777945	0.796849	-0.689488	-0.193634	-0.085948	-0.182929	1.49249	-0.6611	-1.30572	0.233754	-1.70352	0.51255	0.125703	-2.49846	0.291251	-1.335821e+02	-1.309977e+03	-1.443559e+03
960	-0.3629	-1.2078	-0.955768	-1.72192	-1.29437	0.382778	0.34675	0.330666	0.252261	0.378042	1.60907	1.81928	1.25024	-1.30756	-2.58105	-0.571638	-0.495206	0.0661744	-1.57431	0.230185	1.9318	1.1399	2.027	-1.89005	-0.457224	1.24153	-0.480675	0.502009	-0.367514	1.12488	-1.30385	-0.670773	-1.46507	0.312597	-1.03218	1.7964	1.09594	-1.2256	0.036551	0.419318	1.58175	2.23692	-2.06319	-0.452011	1.69978	-0.875484	0.433962	-2.57971	-0.37031	1.16937	0.253853	-0.981659	0.444588	-1.12736	0.429213	-0.175279	1.00184	-2.17021	-0.322817	-2.52045	-1.63956	0.680256	0.69316	0.0423217	1.03256	-0.22367	-0.25334	1.32723	0.926477	0.0025266	1.57712	0.336188	-1.2566	0.162489	-0.824199	0.614286	1.51206	0.709744	0.491158	1.63004	0.5208	-1.76221	0.86164	-0.262335	-0.921667	1.36714	0.784614	0.268249	-1.60128	1.20971	-0.758392	-1.36537	0.125115	-1.434248e+02	-1.303952e+03	-1.447377e+03
970	-0.388984	-1.27267	-1.01319	-1.70742	-1.27877	0.381733	0.440107	0.252344	0.224361	0.375181	1.47658	1.88629	1.25211	-1.50718	-1.41192	0.489864	-1.23787	0.0661744	-1.3417	0.0940198	1.13011	-0.620115	1.95497	-1.97554	1.59692	1.61556	-0.247496	0.119523	0.21246	-2.71091	-0.690369	-2.75774	-0.237793	0.531149	-0.114286	1.2041	-0.251006	-1.56797	0.290853	0.183559	0.162373	1.15878	-1.63254	-0.633688	1.07909	0.140582	1.28851	-3.52046	-0.035368	1.15624	0.755113	-1.33046	0.793708	-1.21182	0.455204	0.178216	0.394874	-2.17021	-0.211948	-2.63899	-0.343361	0.230378	0.674677	0.282342	2.04819	-0.795734	0.128944	1.05159	0.92469	-0.393582	1.39543	0.287588	-0.823967	0.162795	-1.05754	2.25809	-1.48699	0.601826	0.618967	0.925941	1.07329	-0.366214	0.879989	-0.154787	0.263185	1.0676	-0.563998	0.342549	-1.66426	0.943331	-0.899306	-2.13728	-0.056134	-1.447115e+02	-1.292654e+03	-1.437366e+03
980	-0.414321	-1.07801	-1.06568	-1.58345	-1.22038	0.390869	0.320782	0.297194	0.37374	0.358769	1.54908	1.9588	1.25618	-1.68396	-0.293002	-0.683386	1.17923	-0.147543	-1.13255	0.414941	0.0944712	-0.177091	1.76519	-1.39643	0.260192	1.61556	0.796573	-0.278931	-0.232004	-0.604165	-1.16085	-0.764782	0.186962	0.909473	0.394357	-0.336527	-1.31468	-1.23252	0.262803	-0.0146092	0.938696	1.88557	-1.79253	-0.668109	1.17472	-0.078981	0.47464	-3.14801	0.152141	2.41291	0.0974533	-1.68359	0.928517	-0.981472	-1.24225	-1.00222	0.171462	-1.80027	-0.408694	-2.04943	-1.13943	0.284033	0.901361	0.247514	2.25556	-0.307124	0.272584	1.25301	0.784565	-0.0185305	0.552365	0.650975	-0.865783	0.166098	1.21524	-0.494264	0.0237811	0.554118	1.00324	-0.485678	-0.199772	0.0824855	0.468247	-0.154787	1.62951	0.404825	0.83639	0.253373	-1.67824	0.958962	-0.0386479	-1.63023	0.157399	-1.315726e+02	-1.295745e+03	-1.427318e+03
990	-0.370759	-1.1454	-1.03966	-1.62424	-1.25653	0.380515	0.604656	0.181269	0.383659	0.431372	1.57414	1.92024	1.25085	-1.90362	-1.00676	-0.40684	0.15412	-0.0714803	-0.903086	0.126558	-1.08979	0.765383	1.76519	-1.82293	1.30687	0.204216	-0.84653	0.284746	0.0822852	-1.0842	-1.11871	-2.32037	0.510333	0.381221	-0.975374	0.643034	-0.582148	-1.24398	0.340399	-0.0285698	0.448924	1.58103	-1.96107	-0.934652	1.29873	-0.508682	0.47464	-3.89966	0.0965268	2.34826	-1.28906	-1.38922	0.982905	-1.21235	-0.0845701	-0.0429684	1.17604	-1.9025	-0.121813	-2.07956	-2.01921	0.245932	1.12608	0.261831	0.0472859	0.162866	0.614645	1.19224	0.802948	1.64756	0.700532	0.765252	-1.21006	-0.00994259	1.22042	-0.503149	-0.208845	0.812867	0.888828	-0.0473213	-0.0325152	-1.20367	0.267086	-0.0150751	-1.08806	1.09322	0.259209	0.857915	-1.67824	0.494891	-0.0386479	-0.730931	0.37505	-1.409115e+02	-1.285098e+03	-1.426009e+03
1000	-0.384997	-1.2292	-1.00433	-1.65986	-1.34711	0.403885	0.572065	0.181269	0.345692	0.414576	1.5388	1.80749	1.28713	-1.55111	-1.74207	0.348057	-0.0977486	-0.0510395	-0.875524	-0.336565	0.312001	-0.218354	1.76519	-1.79048	0.249425	0.483972	-0.859111	0.409695	0.0727161	-0.889996	-0.601297	-2.60044	0.920057	0.319999	-0.0997848	2.23386	-0.935779	-1.30381	0.338137	1.96845	0.0383598	1.22264	-1.77433	-0.639824	0.510437	0.807278	-0.271456	-2.46622	-0.0581924	-0.344498	1.26613	-0.397429	0.666436	-1.12282	-0.137215	-0.56012	1.17604	-2.09512	-0.213747	-2.17472	-1.94423	0.297746	1.04417	0.558684	0.0455129	-0.150786	-0.0749809	1.80182	0.937957	2.54695	2.06513	1.11142	-0.359439	0.638469	-0.22576	-0.264545	-0.589255	1.13567	0.501077	0.438306	0.689437	0.702364	0.336134	-0.316044	-0.295458	1.72198	0.827651	0.581014	-1.68463	0.410518	-0.0386479	-0.638272	0.512931	-1.379694e+02	-1.296160e+03	-1.434129e+03
1010	-0.371405	-1.21315	-1.00468	-1.73769	-1.30366	0.387337	0.750433	0.2525	0.368132	0.459322	1.54137	1.7862	1.22164	-1.15338	-1.42184	-1.21614	1.66073	-0.229156	-1.12407	0.338026	1.17229	0.57989	1.74052	-2.20927	1.59755	1.9576	-0.374989	0.465422	0.160584	-1.66573	0.621853	-1.56667	0.280509	0.511395	2.22878	0.968626	0.911554	-0.862157	0.097215	1.57634	0.184309	2.69107	-1.19142	-0.395885	0.510437	-0.577317	1.11916	-2.62497	0.283991	-0.113964	-0.482685	-0.551324	0.844245	-1.08216	-0.170116	0.339977	1.17604	-1.58205	-0.0108355	-1.54819	-2.39525	1.07852	1.13685	0.420447	0.538712	-1.54275	1.21115	0.919074	0.937957	0.870616	0.379044	0.595781	-0.897564	-0.0508119	-0.132295	1.12114	-0.416485	0.748108	0.501077	-0.481391	0.328153	-0.719752	0.0576042	-0.00222937	0.703017	0.221364	0.377261	0.626897	-1.7692	0.392106	-0.0386479	-0.707153	0.187242	-1.408384e+02	-1.276858e+03	-1.417697e+03
1020	-0.386697	-1.17643	-0.94137	-1.80463	-1.35933	0.389743	0.691861	0.169641	0.442597	0.434718	1.54137	1.79469	1.22887	-1.01886	-1.46058	-1.21614	2.03477	-0.132866	-1.2987	-0.228269	1.55831	0.0455687	1.74052	-2.19578	1.67384	0.497851	-0.397769	0.441419	-0.793349	0.343805	0.920598	-2.39991	-0.0491084	0.465015	0.635464	0.775597	0.84171	-0.450396	0.185214	0.96579	1.8254	2.08068	-1.52996	-0.510639	0.510437	-0.626868	1.12239	-3.00666	0.0533013	-0.127016	0.360881	-0.602235	0.696961	-1.02635	1.01891	-0.985813	1.89355	-2.24758	-0.135127	-1.87339	-2.80986	-0.00268624	0.992081	0.224257	1.08265	-1.67798	0.378036	1.26694	0.930639	-0.768005	-0.241285	0.422336	-0.611152	-0.124822	0.00928231	0.0674168	-0.344966	0.878088	0.915403	0.0083783	-0.485091	0.108559	0.89539	-0.47441	2.49407	-0.257215	0.614733	0.458485	-1.7692	0.469478	-0.0386479	-0.758847	0.14824	-1.452358e+02	-1.271171e+03	-1.416407e+03
1030	-0.381776	-1.25978	-0.844854	-1.64279	-1.24969	0.394643	0.825764	0.178552	0.329846	0.376808	1.62102	1.93825	1.24298	-1.36986	-1.11947	0.259335	1.076	-0.510022	-1.45095	-0.0214592	1.86527	-0.331861	1.69651	-1.52316	2.51058	-0.878649	-1.60956	1.03761	0.149015	-0.0697833	-0.585419	-2.54536	0.239396	0.552979	-0.825102	-0.509065	-0.603341	-0.520418	-0.129093	1.14523	0.302853	1.76024	-1.68518	-0.341706	0.0520454	-0.305098	1.12181	-3.61564	0.0533013	0.397811	-0.778591	-0.898255	0.433702	-1.20997	0.388605	-0.383004	1.26817	-2.19281	-0.155202	-1.2233	-2.14351	-0.677345	0.791501	0.281789	0.475954	-2.01822	-0.141485	1.19813	0.930639	0.810155	-0.365449	0.077599	-0.961704	-0.00510403	0.00928231	-0.904821	-0.344966	0.319933	0.691175	0.375373	0.453895	-0.836671	0.440493	-0.273491	2.16172	0.249941	0.71847	0.12065	-1.53013	0.392389	-1.58093	-1.33468	0.441985	-1.436068e+02	-1.288474e+03	-1.432081e+03
1040	-0.440649	-1.32595	-0.930108	-1.52912	-1.26863	0.347602	0.881144	0.332472	0.340453	0.410655	1.51194	1.79018	1.27262	-1.02494	-0.954883	-1.38874	0.875935	-0.484766	-1.48368	0.592868	0.033991	-1.02329	1.51996	-1.90061	1.25762	-0.845604	-1.59679	0.310822	-0.282019	-0.24677	-0.00429779	-2.26184	0.389034	1.04167	1.05397	-1.4651	0.502471	-0.995379	-0.102209	1.6266	0.931541	1.36433	-2.28146	-0.172595	0.448756	-0.388012	1.12181	-3.11747	-0.176485	1.35782	-1.06024	-1.60963	0.420563	-0.958954	0.52559	-2.04264	-0.0570411	-1.74895	0.190063	-1.35121	-2.2406	-0.65792	0.597355	0.555383	0.74581	-1.23397	0.593416	1.01342	0.810003	1.58031	0.646801	-0.413632	-0.669005	-0.0905072	0.313735	0.115088	-0.580494	0.478943	1.02496	0.428441	0.480651	-0.417652	0.64853	-0.580734	2.44915	0.0918145	0.353004	0.577214	-1.53013	1.13464	-2.24273	-1.33468	-0.0196344	-1.477355e+02	-1.282802e+03	-1.430537e+03
1050	-0.441122	-1.46203	-0.764956	-1.53239	-1.35517	0.365521	0.809606	0.343373	0.372968	0.495524	1.48925	1.72627	1.30258	-0.878596	-1.86967	0.410182	0.333944	-0.180914	-1.57344	0.857783	-0.350773	0.404811	1.57802	-1.91405	1.40855	-0.151679	-1.40971	0.299589	0.0530714	-0.890735	-0.00429779	-1.89087	0.691294	1.14474	1.05397	0.00738414	-0.994459	-0.623144	0.289151	-0.0570347	1.66721	1.03852	-1.46471	-0.310574	0.469734	-0.416023	0.136296	-2.40162	-0.144672	0.303593	1.71768	-1.6398	0.778058	-1.19925	0.252205	-1.05495	0.799559	-1.74166	0.348255	-1.72365	-2.37201	0.143474	0.821285	0.763193	0.721906	-1.51151	1.00168	1.19066	1.08408	0.857117	0.750649	-0.738041	-1.06143	0.0998661	0.154046	1.04717	-0.0724568	0.512516	0.891096	0.934919	-0.464166	-1.24693	0.0889913	0.133963	1.32864	0.383513	-0.40729	0.254591	-1.53013	0.854785	-1.6922	-1.47017	0.249987	-1.400240e+02	-1.281042e+03	-1.421066e+03
1060	-0.422628	-1.71976	-0.81348	-1.55835	-1.34539	0.384361	0.635236	0.113363	0.28036	0.398612	1.46161	1.8403	1.30099	-0.637192	-2.06048	-0.311062	1.19949	0.0958164	-1.23216	1.0752	-0.187399	-0.304743	2.03773	-1.52701	1.18321	-0.430325	-0.887443	0.649914	-0.119741	-0.726259	0.0164065	-1.42755	-0.228761	0.856897	0.254974	-1.39831	0.503689	-0.998942	0.434238	-0.0570347	-1.52584	0.909315	-0.711143	-0.110973	0.469734	0.769434	0.799169	-2.85767	0.146457	0.55106	-0.957222	-0.259231	1.0174	-0.626004	-0.0207426	0.160998	0.600881	-2.3421	0.100333	-2.07711	-1.06038	0.143474	1.29388	0.70935	0.388865	-0.442953	0.593873	1.49272	1.08408	-3.00113	-0.740934	0.940352	-0.376077	0.0111912	0.174472	1.37902	-1.04884	0.874062	0.747071	1.79565	-0.185134	-0.125298	-0.117968	-0.191809	2.16776	-0.269558	0.758594	0.827756	-1.57522	0.948362	-0.524427	-1.79666	0.219517	-1.357866e+02	-1.300015e+03	-1.435802e+03
1070	-0.476082	-1.7361	-0.882179	-1.53733	-1.45788	0.412866	0.513942	0.198061	0.28922	0.398813	1.60574	1.81699	1.27146	-0.637192	-1.8974	-0.059216	1.19949	-0.474162	-0.647311	0.376696	1.0593	1.21746	2.37022	-1.39821	2.37984	0.5944	-0.213978	0.675488	0.149796	-1.52466	0.0164065	-2.60466	0.329634	0.902717	-0.170213	0.5229	-1.66318	-0.245487	0.267189	1.12518	1.66777	1.71037	-0.906408	0.134978	0.469734	-0.925831	1.05575	-2.74516	0.471057	0.875904	0.0467589	-1.44939	1.54085	-0.743031	0.0184504	1.44117	0.581253	-2.24853	-0.460483	-0.488208	-2.50019	1.17162	1.28891	0.647835	0.704696	-0.974549	-0.175286	1.7868	1.08408	3.82857	-0.862427	0.701045	-0.291437	0.291566	0.191678	0.0389486	-0.807778	1.21878	0.975552	0.242775	0.974067	-0.337369	0.663496	0.166873	-0.135824	-0.00858106	-0.908478	0.0389658	-1.45709	1.00435	0.613473	-2.65141	0.658982	-1.476436e+02	-1.292665e+03	-1.440309e+03
1080	-0.459612	-1.53148	-0.895362	-1.53586	-1.52299	0.387551	0.536006	0.248449	0.293666	0.403386	1.51787	1.93377	1.27146	-0.777328	-2.23675	1.25201	2.39569	0.0669983	-1.06993	0.376696	1.71101	-0.442807	2.41047	-1.27207	2.34539	-0.784089	-1.13327	1.10717	-0.12331	-0.704905	0.0164065	-1.6404	0.934973	0.937177	-0.24053	0.256746	-0.746297	-0.801729	0.455672	1.49226	1.66777	2.92895	-1.35492	0.0733601	1.31875	-1.22454	0.232554	-2.40907	0.471057	0.844909	0.677817	-1.03174	1.61814	-0.903048	0.0184504	1.21237	0.322669	-2.23317	0.115491	-0.805659	-3.32721	0.807779	1.55461	0.441082	0.896379	-0.47538	-0.175286	1.7868	1.14388	-1.98585	0.0247507	0.432416	-0.276116	0.0685341	1.51559	-0.190296	-0.807778	1.5509	1.07284	-1.90927	0.282871	-0.745235	1.22355	-0.255572	0.806148	0.343411	-0.889192	0.969982	-1.34834	0.56696	-0.523086	-0.973298	1.12135	-1.506003e+02	-1.283275e+03	-1.433875e+03
1090	-0.489405	-1.56144	-0.73199	-1.7544	-1.47815	0.373979	0.541408	0.306037	0.284176	0.411116	1.51055	1.77786	1.27146	-0.845885	-1.5996	-0.94724	1.51856	-0.237623	-0.929706	-0.283276	1.84111	0.710612	2.2541	-1.4408	2.0981	-0.689809	-0.243321	0.829011	-0.18562	-0.0940238	0.0164065	-0.970393	0.77183	0.852695	0.774484	0.355875	0.237129	-0.772866	0.276527	-0.0873683	2.64913	2.11964	-0.709057	-0.421989	2.15438	-0.345185	-0.218085	-2.87463	0.304588	-0.450897	1.04537	-1.24006	1.26846	-0.836135	-0.398131	0.684254	2.26352	-1.81038	0.128232	-0.74498	-3.32721	1.32164	1.49581	0.307837	0.932101	0.0763495	0.302995	1.73066	1.14388	0.230752	0.478517	0.266078	-0.437932	0.564431	1.51559	-0.830894	-0.0806137	1.26341	1.28516	-0.210695	-1.34663	-0.0910965	1.30154	-0.658685	1.9619	-0.0984615	0.703732	0.969982	-1.3005	0.743591	-1.05414	-0.707592	0.718389	-1.452844e+02	-1.282717e+03	-1.428002e+03
1100	-0.493162	-1.42492	-0.712447	-1.7544	-1.45819	0.373881	0.306703	0.280255	0.318158	0.41718	1.48707	1.92413	1.31845	-1.12866	-0.932795	-1.72214	0.665581	0.178709	-0.686279	0.414643	0.264848	0.349964	2.22836	-1.56855	1.42466	0.907726	-0.885351	1.10982	-0.0977602	0.0105256	0.0164065	-1.9306	0.654209	0.603313	-0.786257	0.355875	1.06235	-0.343925	0.473455	0.443787	2.61357	2.26804	-0.0920829	-0.00896341	-0.44661	-0.951339	1.45524	-2.48386	0.0423641	1.32623	-0.478422	-1.81186	1.09992	-0.837492	-0.404174	0.879501	0.452199	-1.89833	-0.39098	-0.969512	-2.36491	-0.549947	1.38906	0.731934	0.331846	-1.34214	0.764734	1.37535	1.27963	-0.432343	-0.506945	0.130752	-0.96029	0.590226	-0.436041	2.16542	-0.0731387	0.83542	0.79949	0.627183	0.0456271	0.508211	0.634975	0.205393	1.2952	0.389595	1.66339	0.416303	-1.13216	-0.625079	-1.05414	-0.633087	1.06314	-1.346749e+02	-1.306862e+03	-1.441537e+03
1110	-0.504068	-1.18413	-0.97476	-1.63623	-1.4769	0.368252	0.387492	0.124304	0.291959	0.387972	1.55752	1.79326	1.32657	-1.48692	-0.453724	-0.704649	-0.352207	0.457483	-0.585225	0.195256	-1.0843	0.349964	2.26765	-1.36183	0.100789	0.179909	-1.25192	0.858137	-0.507279	-0.283568	-0.135004	-2.72306	0.979946	0.905724	-0.686798	-0.266848	-0.188481	-0.665776	0.359926	2.2265	-0.0242896	1.93687	-1.00375	-0.347439	0.299106	1.32655	1.5188	-2.93363	0.292961	-0.230661	1.35295	-1.23556	1.27672	-0.686932	1.15227	-1.1906	1.43556	-1.99624	0.118375	-3.8552	0.0455419	0.916025	1.78449	0.716565	-0.213277	0.164161	0.0544258	1.15654	1.25884	1.73581	0.418474	0.0438891	-0.218597	0.459087	0.28499	0.876155	-0.0554003	0.898534	0.89939	0.364628	2.09777	-1.25221	0.791779	0.3004	0.757767	-0.0318659	-0.357051	0.416303	-1.13216	-0.374601	-0.610934	-2.10788	0.979618	-1.399850e+02	-1.287891e+03	-1.427876e+03
1120	-0.504691	-1.05953	-0.903942	-1.78443	-1.5892	0.362249	0.390558	0.100285	0.315586	0.439554	1.58745	1.86406	1.30002	-1.93462	-0.568468	-0.911932	0.278046	-0.395059	-1.1676	0.701948	-0.684531	-0.0323657	2.26765	-1.89096	1.48146	2.0872	-0.0953581	1.11097	-0.31363	-0.800616	-0.476653	-1.64937	0.946817	0.727928	0.411305	0.889716	-1.03198	-0.91886	0.426354	1.16116	-0.0242896	1.45393	-0.434602	-0.372699	-0.0889711	-0.275843	1.66545	-2.58789	0.472462	0.207385	-0.418193	-0.0649845	1.12533	-0.72683	1.12196	-1.27198	0.309065	-1.06713	-0.380219	-2.54633	0.0455419	0.916025	1.40732	0.448017	0.562833	1.01242	-0.205918	1.56775	1.12462	-0.516792	-0.0120302	-0.474849	-0.676943	0.554604	-0.644215	0.730149	0.80954	1.65037	1.11466	-1.27111	0.0497711	-0.687279	0.689079	0.199184	-0.799803	-0.0618767	-0.271178	0.648774	-1.13216	-0.676466	0.217115	-0.323927	1.35887	-1.287188e+02	-1.308493e+03	-1.437212e+03
1130	-0.516615	-1.37364	-0.707502	-1.67622	-1.58996	0.297712	0.529506	0.0903188	0.337889	0.451799	1.63382	1.83827	1.30002	-1.08509	-1.38845	0.2006	1.62778	-0.420079	-1.25291	-0.307814	1.52808	-0.230814	2.20127	-1.65514	1.11018	0.674731	-1.91414	0.579178	-0.561721	-0.282362	-0.476653	-0.590296	0.432395	0.759309	-0.273175	0.889716	-0.384723	-0.993197	0.551704	1.16116	1.41771	1.99267	-0.950347	-0.18414	0.168456	-0.6994	0.556778	-1.97095	0.488058	0.951499	0.216565	-2.3295	1.93856	-1.45774	1.11339	-0.842557	0.250254	-1.58182	0.135449	-2.47199	-0.365653	0.916025	1.80766	0.727967	0.17968	0.898561	0.16856	1.49206	1.43174	-1.578	0.191582	0.487222	-0.180983	0.580445	0.427241	0.572828	0.548881	1.89461	1.02683	-0.220373	0.302219	-0.59774	0.814365	0.114253	0.396713	1.19315	0.802421	0.842058	-1.13216	-0.460701	-0.412752	-1.51353	1.07823	-1.352506e+02	-1.302768e+03	-1.438019e+03
