iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkmratio(1)	M_lnkeDfrac(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkmratio(1)	SD_lnkeDfrac(1)	GSD_don(1)	GSD_d3g(1)	GSD_d15g(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkmratio(1.1)	lnkeDfrac(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkmratio(1.2)	lnkeDfrac(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkmratio(1.3)	lnkeDfrac(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkmratio(1.4)	lnkeDfrac(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkmratio(1.5)	lnkeDfrac(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkmratio(1.6)	lnkeDfrac(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkmratio(1.7)	lnkeDfrac(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkmratio(1.8)	lnkeDfrac(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnktot(1.9)	lnkmratio(1.9)	lnkeDfrac(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnktot(1.10)	lnkmratio(1.10)	lnkeDfrac(1.10)	lnFgutabs(1.11)	lnkgutelim(1.11)	lnktot(1.11)	lnkmratio(1.11)	lnkeDfrac(1.11)	lnFgutabs(1.12)	lnkgutelim(1.12)	lnktot(1.12)	lnkmratio(1.12)	lnkeDfrac(1.12)	lnFgutabs(1.13)	lnkgutelim(1.13)	lnktot(1.13)	lnkmratio(1.13)	lnkeDfrac(1.13)	lnFgutabs(1.14)	lnkgutelim(1.14)	lnktot(1.14)	lnkmratio(1.14)	lnkeDfrac(1.14)	lnFgutabs(1.15)	lnkgutelim(1.15)	lnktot(1.15)	lnkmratio(1.15)	lnkeDfrac(1.15)	lnFgutabs(1.16)	lnkgutelim(1.16)	lnktot(1.16)	lnkmratio(1.16)	lnkeDfrac(1.16)	LnPrior	LnData	LnPosterior
100	-0.825322	-1.51895	-0.543492	-1.69135	-2.21734	0.210155	0.180109	0.435139	0.398515	0.529647	1.61367	1.88557	1.301	-1.00992	-0.115546	-0.992021	0.951284	1.55461	-0.631089	1.32152	-0.309426	-0.593402	3.1279	-0.793669	0.259282	0.971271	-0.204202	1.72616	1.03759	-0.424987	0.574352	-0.628433	1.79456	3.12671	-0.69151	0.843766	0.0430057	0.459948	2.27944	-0.982092	1.41385	1.81256	0.41847	1.0282	0.506	-0.327813	1.36249	-0.716949	2.09503	1.2044	-0.579046	-1.43687	2.34669	-0.055829	-0.837083	0.0266774	0.760503	-0.0530168	1.62865	-1.2445	-2.46008	0.935281	2.66159	3.24817	-1.15732	-1.03721	0.686264	2.86902	3.33989	0.534951	-0.117051	0.300762	0.981983	1.71579	0.298944	0.994553	-0.235191	1.93329	2.84455	0.611982	1.51675	-0.406946	2.1832	0.826948	-0.402672	0.00240134	0.331822	1.61344	-0.49306	0.515803	-0.306953	-1.31439	2.28795	-1.680892e+02	-1.293428e+03	-1.461517e+03
110	-0.837048	-1.37213	-0.543492	-1.69135	-2.18363	0.227673	0.257471	0.478627	0.339184	0.522034	1.54778	2.02138	1.34705	0.273131	-1.52421	-1.64394	0.56551	1.36076	-0.631089	1.64065	-0.264082	-0.206632	3.12115	-1.28245	0.769934	1.96402	-0.141565	2.05815	0.267054	-0.424987	0.586104	-1.07359	1.57141	2.71974	0.11055	-0.219721	0.47218	0.423304	2.18837	-1.16262	1.31578	2.28746	0.544162	1.26242	0.40903	-0.0475206	0.627638	-0.699413	2.14576	-0.282142	0.010152	-0.862501	2.62335	0.341707	0.290285	-1.01523	0.760503	-0.102642	0.987324	-1.11728	-1.72859	0.439802	2.65253	2.59233	2.03949	-1.03721	0.168611	2.59423	2.73873	-0.619417	0.16567	0.862687	1.06068	1.698	0.283519	-0.714668	0.399846	2.22787	2.21628	1.14936	0.862946	0.638735	1.83532	0.794556	-0.0305263	0.811302	0.754451	1.63459	-0.0322177	1.36303	-1.85208	-1.20701	1.82388	-1.642169e+02	-1.297926e+03	-1.462143e+03
120	-0.874889	-1.37136	-0.642005	-1.69135	-2.14126	0.256526	0.432418	0.374977	0.525668	0.50341	1.4796	1.73335	1.30904	0.448018	-1.24369	-0.772236	-0.0386509	1.3469	-0.111774	0.614939	0.0107171	0.345339	3.12115	-0.628841	-0.655672	0.900686	-0.267974	1.90962	0.601724	-0.275383	2.18727	-1.07359	2.17713	2.38776	-0.0609152	0.324276	0.549838	0.949708	1.54745	0.225041	0.94994	1.65075	0.621537	1.86585	-0.51275	-0.675818	0.627638	-1.91412	2.37602	0.186512	-0.393693	-1.1756	2.86525	0.325202	-1.48572	2.92366	0.879984	-0.0148418	1.55463	-1.45264	-2.48939	-0.373721	2.5425	1.7225	2.71424	-1.27461	0.157237	2.34162	2.73577	1.30447	-0.394794	0.1952	0.812219	2.31575	0.380093	-0.714668	-0.343324	2.5175	3.21571	-0.748105	0.260266	0.577596	2.21499	1.1635	-0.370732	1.83474	0.0326979	1.68744	0.0242831	0.570886	-1.85208	-0.908995	1.77103	-1.767236e+02	-1.298938e+03	-1.475662e+03
130	-0.947277	-1.48351	-0.642005	-1.59293	-2.03338	0.321441	0.314779	0.345161	0.30627	0.440276	1.6619	1.80614	1.28834	0.204597	-1.18003	-2.21891	-0.274666	1.59365	-0.123266	0.534076	1.10603	0.345339	3.30325	-0.208899	0.489153	1.11015	-0.76383	1.48896	1.05958	-0.38063	-1.3747	-1.72189	1.38311	2.35379	0.812757	-0.88035	0.364804	1.04386	1.96535	1.6212	-0.329585	1.19434	-0.0182074	1.32841	0.37906	-0.861784	0.902882	-0.776718	1.51456	0.411652	0.271584	-0.167211	2.10089	0.961859	-1.44253	0.513567	-0.138441	-0.916381	1.58941	-1.28713	-3.40313	0.474872	2.54129	1.62665	1.49334	-0.339468	0.18767	2.39834	2.80983	-2.00655	0.11673	-0.908269	0.975997	1.88906	-1.46521	-0.714668	-0.343324	2.09799	2.2464	0.79051	-0.649881	-1.22203	1.39639	1.17868	1.02599	0.559572	-0.0590363	2.58752	0.324548	1.08086	-1.73967	-1.51851	2.15667	-1.651483e+02	-1.302245e+03	-1.467393e+03
140	-0.994679	-1.4148	-0.564956	-1.64459	-2.03338	0.35754	0.350483	0.220869	0.382218	0.433949	1.62963	1.80614	1.30012	-0.096717	-1.98973	0.0118373	0.632972	1.34956	0.0800772	-0.481931	0.665649	1.07209	2.96501	-0.649583	-0.0368915	2.40945	0.509635	1.39208	1.05958	-0.38063	0.914208	-1.47079	1.64326	2.3943	-1.14925	-0.963832	-0.63901	0.654684	1.96181	0.784237	1.21353	1.50908	0.491141	0.950008	1.01452	-0.222331	0.191574	-1.07015	1.49168	-0.0367694	0.364867	-1.6219	2.19645	0.961859	-0.873475	0.39076	1.25885	-1.10767	1.60806	-3.36855	-2.38307	0.883574	2.64883	1.64968	0.602623	-0.621021	0.500029	2.6379	2.4929	0.86051	0.176246	0.582822	0.990115	1.75668	1.68153	0.486564	0.0765432	2.08179	2.14766	-0.450253	0.0162597	0.0166254	1.86679	1.59679	-0.0149673	0.559572	0.452212	2.41582	0.0259523	0.607815	-1.6979	-1.48637	2.37297	-1.650846e+02	-1.295817e+03	-1.460901e+03
150	-0.975525	-1.36365	-0.603731	-1.61434	-2.04703	0.323597	0.444397	0.229653	0.292952	0.447887	1.50268	1.8296	1.299	0.145906	-1.98973	1.56068	1.18735	1.41915	0.0846658	-0.0631882	1.19194	0.239096	3.26844	-0.0217894	0.262717	-0.330051	-0.761001	1.4419	0.81608	-0.10886	1.55221	-0.185695	1.37906	2.51961	0.00251108	-0.151	-0.597944	0.829909	1.63834	0.94193	0.22247	2.09138	0.335437	1.07256	0.611222	-0.322286	0.634873	-1.79832	1.57945	-0.0367694	1.68966	-2.46589	2.22695	0.961859	-0.122461	-0.398478	1.73901	-0.713901	1.71551	-2.70367	-2.22883	0.830325	2.34123	1.91918	0.602623	-0.177972	0.0468733	2.69425	2.64725	0.978319	1.1336	0.0326688	0.686935	1.54977	-0.534916	1.45961	-0.00161207	2.48702	2.12294	1.26163	0.0162597	0.0166254	1.86679	1.16898	1.56092	2.1037	0.0968158	2.41582	0.054311	0.434081	-1.55018	-1.33443	2.37297	-1.682873e+02	-1.293038e+03	-1.461325e+03
160	-1.00743	-1.52987	-0.689793	-1.85212	-2.04703	0.371951	0.561816	0.325437	0.308479	0.473427	1.49488	1.8296	1.299	0.14281	-0.860208	-2.02545	1.53323	0.911057	0.0846658	-0.0631882	1.18626	0.790702	3.12141	-0.136027	0.262717	0.349585	0.564962	1.61581	0.81608	-0.10886	0.00793271	-0.288551	1.93467	1.61621	0.988786	0.0183923	0.367242	0.829909	1.77172	1.61105	0.276652	1.20576	0.182719	0.938623	0.951576	-0.867361	1.02973	-0.867258	1.82475	0.710295	-0.381918	-1.28625	1.95244	0.573298	-0.0470617	0.2384	1.63662	-0.618696	1.80912	-3.06947	-1.22058	0.822771	2.5773	2.13063	0.142402	0.0413725	0.83925	2.96379	2.65084	0.090179	1.42128	0.864834	0.797062	1.77178	-0.69304	0.29366	-0.782803	2.38095	2.15629	0.555492	0.916845	-0.517008	1.77499	1.16329	0.329527	-0.103322	0.626378	2.22845	0.399226	0.364833	-1.44282	-1.93032	1.37164	-1.603740e+02	-1.299456e+03	-1.459830e+03
170	-1.0045	-1.40754	-0.470678	-1.54501	-2.00764	0.367492	0.562147	0.239302	0.374736	0.478693	1.5889	1.8679	1.31669	0.0456757	-1.83561	-0.437812	0.237873	0.681866	0.0534145	-0.0631882	0.623478	-0.212027	2.94524	0.0297931	1.40541	-1.66087	0.956496	1.92908	0.721876	-0.352396	0.794483	-2.69511	1.23228	1.78011	0.217027	0.419553	-0.852281	0.216034	2.05817	1.77391	-0.0518647	0.23681	0.0352353	0.584618	0.176037	0.834846	-0.803669	-0.965448	1.24442	0.710295	0.135209	-1.28625	1.82796	0.296115	0.157948	-0.697164	0.531298	-0.41405	1.75435	-2.42043	-2.60804	-0.152589	2.18139	1.58403	0.627238	0.409806	0.50166	2.91648	2.65084	0.611316	0.486793	0.441247	0.353628	1.77178	-1.30615	0.391883	-0.869105	1.73425	1.83225	0.555492	0.378158	-0.655333	1.73125	1.04696	0.486608	1.55792	0.605028	2.09533	-0.269184	0.371826	-0.0285549	-1.42409	1.50415	-1.541256e+02	-1.308787e+03	-1.462912e+03
180	-0.969398	-1.61191	-0.525095	-1.50145	-1.8321	0.364332	0.679008	0.285324	0.232854	0.416989	1.50351	2.08478	1.27948	0.174582	-0.906099	-1.44301	-0.0195888	0.871184	0.0887503	0.177064	0.861799	-1.29004	3.05805	-0.837367	1.78801	1.34638	0.516519	1.54943	0.800584	-0.352396	0.794483	-2.24008	1.3548	2.01784	0.217027	0.419553	-0.20965	0.122755	1.27717	1.03038	1.81683	0.304625	-0.520527	0.873839	0.448401	-0.103401	0.709929	-1.69054	0.93209	0.785361	1.62198	-1.28625	1.94618	0.0386267	0.861812	-0.163163	0.349834	-0.396433	1.63858	-1.74862	-1.81309	0.894871	2.14905	1.67239	0.697251	-0.101211	1.39685	2.2704	2.5144	1.52437	-0.445183	-1.68965	0.573324	1.77178	-0.582268	0.245949	0.253465	1.25298	1.91114	0.431717	0.714416	-0.225597	1.47222	1.0409	1.15733	-0.36283	0.0508319	1.97971	0.200451	0.371826	-0.53506	-2.77501	2.01814	-1.548370e+02	-1.296934e+03	-1.451771e+03
190	-0.980484	-1.55766	-0.506448	-1.6336	-1.82494	0.372629	0.711852	0.307364	0.294006	0.392104	1.53194	2.11242	1.32329	-0.0483708	-1.08367	0.208718	1.5328	0.612587	0.100334	0.586212	-0.573273	0.471132	3.12936	-0.808491	1.23729	1.51822	-0.850761	1.16387	1.04526	0.261489	0.794483	-2.53162	1.40044	2.15985	-0.32374	-0.507308	-0.383314	-0.100537	1.32174	0.37352	2.018	1.19373	-0.0279458	0.970812	0.863073	-0.27218	0.379157	-1.66243	1.23412	0.785361	0.0311892	-1.64773	2.05151	-0.127365	1.17087	0.257478	0.860647	-0.507539	1.53446	-1.57799	-1.88534	1.31563	2.4396	1.63388	0.244544	0.97482	0.882704	2.51995	2.38446	1.27897	-0.842007	-0.0181264	0.28825	1.94881	0.161841	-1.88969	0.266478	2.00194	1.9531	0.431717	1.80432	-0.902658	1.40276	1.0409	1.81915	0.86134	1.30717	1.4891	-0.0271121	0.658777	-1.98355	-1.34505	1.36739	-1.603364e+02	-1.290799e+03	-1.451135e+03
