iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkmratio(1)	M_lnkuDfrac(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkmratio(1)	SD_lnkuDfrac(1)	GSD_don(1)	GSD_d3g(1)	GSD_d15g(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkmratio(1.1)	lnkuDfrac(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkmratio(1.2)	lnkuDfrac(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkmratio(1.3)	lnkuDfrac(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkmratio(1.4)	lnkuDfrac(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkmratio(1.5)	lnkuDfrac(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkmratio(1.6)	lnkuDfrac(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkmratio(1.7)	lnkuDfrac(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkmratio(1.8)	lnkuDfrac(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnktot(1.9)	lnkmratio(1.9)	lnkuDfrac(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnktot(1.10)	lnkmratio(1.10)	lnkuDfrac(1.10)	lnFgutabs(1.11)	lnkgutelim(1.11)	lnktot(1.11)	lnkmratio(1.11)	lnkuDfrac(1.11)	lnFgutabs(1.12)	lnkgutelim(1.12)	lnktot(1.12)	lnkmratio(1.12)	lnkuDfrac(1.12)	lnFgutabs(1.13)	lnkgutelim(1.13)	lnktot(1.13)	lnkmratio(1.13)	lnkuDfrac(1.13)	lnFgutabs(1.14)	lnkgutelim(1.14)	lnktot(1.14)	lnkmratio(1.14)	lnkuDfrac(1.14)	lnFgutabs(1.15)	lnkgutelim(1.15)	lnktot(1.15)	lnkmratio(1.15)	lnkuDfrac(1.15)	lnFgutabs(1.16)	lnkgutelim(1.16)	lnktot(1.16)	lnkmratio(1.16)	lnkuDfrac(1.16)	LnPrior	LnData	LnPosterior
500	-0.480823	-2.55816	0.651417	-1.49273	-1.26849	0.280175	1.10618	0.984718	0.565145	0.414451	1.641	1.95653	1.23054	0.0789323	-0.858085	-1.7361	0.502706	0.0862071	-1.04409	0.0472304	0.0252683	0.0521283	1.47185	-1.98128	1.06142	-0.139594	-0.29468	0.0777447	0.719202	-0.563574	-0.405855	-1.54499	-0.119681	1.06503	-0.135707	-0.215322	0.250207	-1.83691	0.952447	0.881521	0.958984	1.71701	-1.222	-0.562217	0.260524	0.651014	0.504738	-3.02488	1.03315	0.0619416	-0.497877	-0.146301	1.31735	-0.68506	-0.176892	0.369987	0.262903	-2.44638	0.613988	0.118161	-2.78923	-0.437925	1.01198	1.38455	-1.30999	0.574589	0.147121	1.14808	1.25616	-0.060627	1.14351	-0.18981	-0.280115	0.628988	-0.164172	-0.581637	0.35159	-0.290654	0.892879	1.62063	-0.984379	-0.313611	0.539538	-0.199262	0.773744	-0.330513	-0.397607	0.431058	-1.11258	-0.125203	0.968771	-0.672156	0.296891	-1.284914e+002	-1.287952e+003	-1.416444e+003
550	-0.46201	-2.66277	0.716738	-1.65156	-1.20998	0.259814	1.18565	1.24825	0.340419	0.485236	1.63104	1.79557	1.20708	-0.459566	-0.625621	-0.948388	0.885165	0.203048	-1.1721	0.18629	-0.0936275	-0.103132	1.20313	-2.252	0.642899	1.1918	-0.617217	0.0473315	0.196604	-0.292705	1.13064	-2.72309	-0.217318	1.15209	-0.243838	0.383163	-0.461154	-0.953698	0.0561514	1.97752	-0.373404	2.87753	-1.39011	-0.58676	0.396414	1.3212	0.293144	-2.55276	-0.147594	0.287957	0.214636	0.114153	0.237922	-0.634144	0.0467937	0.667432	1.25694	-2.18226	0.482205	0.00939577	-1.98586	-0.221805	0.672624	1.47023	-1.3988	0.545036	-0.450188	0.771558	1.47737	-0.497864	0.425533	0.905584	-1.07259	0.705128	-0.20841	1.19796	-0.972306	0.307237	1.34804	0.0356372	2.66417	0.388731	0.0793111	-0.800105	0.975676	0.237663	-0.617959	-0.402665	-1.10385	-0.0456337	0.757891	-1.83568	0.362551	-1.361833e+002	-1.273671e+003	-1.409854e+003
600	-0.497874	-2.69017	0.170483	-1.64735	-1.35313	0.263814	1.07147	0.801309	0.631445	0.493068	1.54348	1.80889	1.24456	-1.26325	0.0243882	-0.803418	1.36003	0.195414	-1.17952	0.158248	0.634482	-0.406035	1.5332	-1.31795	0.496573	0.224836	-0.672419	0.626325	-0.692445	0.749963	-0.778971	-1.61452	0.199184	1.5277	-0.68321	0.717163	-0.0512962	-1.0431	0.208058	1.26125	0.957586	0.366686	-0.565628	-0.382129	0.674824	1.00865	0.680878	-1.85836	0.584165	-0.010832	1.76053	-1.0193	0.632208	-0.562195	0.307919	-0.682952	0.983553	-1.67672	0.593427	0.0374862	-2.2809	-0.233248	1.02606	1.25774	-0.815346	1.44858	-0.974068	1.34705	1.52937	0.213019	-0.403492	0.0941235	-0.509722	1.00597	0.584649	-1.75557	0.145603	0.608428	0.896389	0.796051	-0.317529	-0.00837706	-0.095969	-0.0707039	0.615692	0.852743	0.559749	0.451191	-0.666325	-0.060864	-0.0934074	-1.07528	0.562806	-1.226541e+002	-1.296650e+003	-1.419304e+003
650	-0.457148	-2.46454	0.365286	-1.56373	-1.32088	0.279966	0.179603	0.677063	0.422603	0.559551	1.49148	1.96727	1.28302	-1.2808	-1.13076	-0.551676	0.130324	0.142059	-1.3791	1.12479	0.386729	-0.53835	1.28194	-1.57325	-0.651743	0.663754	-0.951835	-0.135551	-0.118599	-0.698171	-0.388497	-1.63299	0.0250627	0.865543	-0.225525	-0.46922	-0.357377	-0.998136	0.945131	-0.825826	-0.132981	2.1798	-1.37173	-0.159881	0.20693	-0.177689	1.09085	-1.91518	0.23099	0.197763	1.24856	-1.53097	0.690801	-1.17645	0.340144	-1.26361	0.70182	-2.01668	0.260763	0.140017	-2.60998	0.0525942	0.904566	0.840176	-0.862504	0.347685	0.848573	0.954416	1.46396	0.349216	-0.822821	0.271496	-0.992019	0.138353	-0.630752	0.439327	-0.974356	0.150419	1.30362	0.902765	-0.897063	-0.959346	0.183371	0.205276	0.874458	0.337564	1.25446	0.402453	-1.31906	0.862288	-0.602274	-0.536043	0.46449	-1.240382e+002	-1.296749e+003	-1.420787e+003
700	-0.458	-2.2606	-0.166018	-1.6539	-1.39434	0.313642	0.0278528	0.668571	0.552254	0.657041	1.46727	1.85462	1.28836	-1.77821	0.360279	-0.243321	0.0798238	-0.157164	-1.10283	0.840548	0.975301	-0.108985	1.21996	-1.6072	0.0735785	1.15422	-0.596852	0.360623	0.14341	0.550355	0.393005	-1.73849	0.197785	0.997185	0.252674	-0.11925	-0.205465	-0.90608	0.624	0.927368	1.42971	1.73051	-1.11347	-0.136937	-0.0486253	0.68878	1.18241	-1.72417	0.17425	-2.08361	1.25721	-0.0913081	0.795213	-0.667876	0.518371	-0.332754	1.17336	-1.63789	-0.0346364	-0.280579	-2.15625	0.131025	0.793012	0.459812	1.077	1.2784	-0.280528	0.978856	1.17592	-1.36205	0.964917	-0.0825148	-0.293932	0.485498	-1.54896	0.485814	0.0258994	0.745623	0.826571	-0.482666	1.14779	-0.716425	0.418756	0.0928524	-0.861248	2.31434	-0.392563	0.531023	-1.14287	-1.25632	0.26958	-1.31944	0.456715	-1.248329e+002	-1.281524e+003	-1.406357e+003
750	-0.401832	-2.26064	0.0117165	-1.68061	-1.39345	0.304037	0.168911	0.671308	0.40561	0.542243	1.62454	1.77141	1.30515	-1.57812	-0.819748	-1.12499	0.554459	0.276999	-1.24149	0.394694	0.409397	-0.538814	1.48782	-1.7746	2.06934	0.194399	-0.100702	0.482471	-0.659042	-0.87404	1.02592	-3.25403	-0.0243042	0.733664	-0.218896	0.803122	0.270849	-1.28201	0.388792	0.342418	1.29042	1.97029	-1.06205	-0.165635	0.363842	-0.464188	0.70222	-2.1174	0.411416	0.0120594	-0.217367	-2.03443	0.828255	-0.782807	0.070072	0.512404	1.16169	-1.33995	-0.262425	0.448376	-2.58448	0.206387	0.885437	0.366959	-0.810134	0.920055	-0.321957	0.79046	0.941982	-0.92593	0.730141	0.591108	-0.60311	0.390528	-0.13965	0.175856	-0.56795	0.593538	0.66176	-0.532018	1.04447	-0.998439	0.121222	-0.406889	0.527159	1.79151	-0.0582812	-0.53392	-1.58437	-0.68088	0.651785	-0.580676	0.445655	-1.276849e+002	-1.289214e+003	-1.416898e+003
800	-0.330642	-2.46486	-0.13878	-1.55078	-1.60223	0.385376	0.0551193	0.957043	0.437762	0.642929	1.60876	1.87406	1.26415	-1.29908	0.0969363	-0.558765	0.757772	0.175201	-1.27657	0.422392	1.16476	-0.932972	1.49524	-1.09791	0.0279508	0.780161	-0.796726	0.591897	-0.19806	-0.0227851	-0.0494046	-1.99091	1.06075	0.578955	-1.62902	-0.681137	-0.375774	-0.0454307	-0.0530115	1.66321	1.75246	0.806988	-0.385471	-0.552653	1.44861	0.585286	-0.235028	-1.45495	-0.039807	-1.74309	1.55993	-1.0031	1.21966	-1.02321	0.247889	-0.282662	0.575976	-0.703679	-0.167929	-0.490285	-1.30076	-0.635611	1.36113	-0.105883	1.30726	0.837822	-1.07668	1.12742	0.517912	1.28773	0.162211	0.000928956	-0.230904	-0.164725	0.162036	1.15774	-0.432172	0.504083	0.279752	0.224957	2.14019	-0.66399	0.506043	-0.334627	0.114467	1.37143	-0.320439	0.780963	-1.38134	1.51709	0.631718	-1.14632	0.700084	-1.237596e+002	-1.289791e+003	-1.413550e+003
850	-0.368577	-2.11094	-0.175288	-1.3814	-1.66779	0.404891	0.00189493	0.741749	0.545673	0.729715	1.52588	1.85621	1.27322	-1.46564	0.103861	-0.954812	1.043	0.480377	-1.09908	-0.581229	0.580716	-0.413315	1.38007	-1.31824	0.251799	1.20936	-0.804114	1.10899	-0.351623	0.654364	-0.0009611	-2.75119	0.660178	0.390796	0.502692	-0.139967	-0.424651	-0.233529	0.225046	0.59543	0.581937	0.804661	-0.516831	-0.437588	1.00851	0.0829285	0.931416	-1.4382	-0.0577619	0.205856	1.20861	-0.237244	0.829665	-1.01173	-1.76167	0.135777	0.359916	-0.687195	0.017146	-0.505676	-2.30292	-0.103038	1.02275	-0.141049	-0.227458	1.32328	-0.500575	1.05969	0.602424	1.90606	0.823233	0.242351	-0.00217303	0.0191944	-0.0666855	-0.119719	-0.338487	1.1253	0.392587	-0.447367	1.07772	0.0931395	0.68448	-0.217066	-0.117864	0.0641626	0.717897	0.738879	-1.28619	0.0547754	0.351948	-1.46032	0.675227	-1.179608e+002	-1.285792e+003	-1.403753e+003
900	-0.407504	-2.12137	0.240961	-1.49067	-1.47573	0.364937	0.307375	0.746037	0.710773	0.619566	1.65046	1.77996	1.21346	-1.47619	0.18641	-1.85455	0.177589	0.116012	-1.33069	1.26951	0.0800742	-0.449605	1.52175	-1.93921	0.700798	1.93417	-1.37288	0.556072	-0.293561	-1.20172	-0.28086	-2.06301	0.124009	0.556056	0.354561	-0.626915	-0.311832	-0.44229	0.279606	0.588066	-0.672957	0.931475	-0.577414	-0.2769	-0.356973	0.0567956	-0.144865	-1.75422	-0.271727	1.0177	-0.0363316	-0.92335	0.597297	-0.699761	0.221925	0.0909503	0.544686	-0.875595	0.0778143	-2.10284	-1.75922	-0.35216	1.05079	0.0178261	-0.340744	0.784589	0.0310292	1.07002	0.510737	0.712812	0.448729	-0.173762	-0.434799	0.0607492	-0.181516	2.0702	-0.377349	0.232913	0.697467	-0.653342	1.51194	-0.320563	0.393511	-0.283774	0.760133	0.242509	-0.977471	0.357355	-1.25089	-0.367974	0.288122	-0.58402	0.508369	-1.200220e+002	-1.290206e+003	-1.410228e+003
950	-0.33392	-2.16358	0.362729	-1.5691	-1.40802	0.29348	0.58719	1.15979	0.433323	0.493897	1.60221	1.88026	1.23104	-1.58645	-0.440386	-1.18459	0.479058	0.424108	-1.56666	-0.279317	0.223868	0.143959	1.49694	-2.57962	1.03078	0.734238	-0.560177	0.253667	-0.469303	-0.335456	-0.78679	-1.45804	0.337573	0.49913	0.543808	0.267419	-1.6765	-0.54463	-0.107067	0.734304	0.188652	1.8262	-1.10213	-0.0858562	-1.31543	1.13056	0.113225	-2.77353	-0.27046	1.14526	-0.554054	-0.975358	0.709399	-1.22012	0.775067	-1.18332	-0.324729	-1.22063	0.153976	-0.889078	-1.81944	0.180414	1.29803	-0.0520467	-0.427863	-0.0113626	-0.0715508	0.962547	0.807987	-0.0991856	1.64337	0.101445	-0.118596	-0.00947219	1.13828	0.37268	0.0883096	1.00412	0.214064	-0.158483	0.356887	-0.784213	-0.0607246	-0.362588	0.378438	0.629392	0.0595068	0.448719	-1.41245	-0.999483	0.31417	-0.847346	0.443449	-1.234997e+002	-1.288397e+003	-1.411897e+003
