iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnkmtot(1)	M_lnkmratio(1)	M_lnkeD(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnkmtot(1)	SD_lnkmratio(1)	SD_lnkeD(1)	GSD_don(1)	GSD_d3g(1)	GSD_d15g(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnkmtot(1.1)	lnkmratio(1.1)	lnkeD(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnkmtot(1.2)	lnkmratio(1.2)	lnkeD(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnkmtot(1.3)	lnkmratio(1.3)	lnkeD(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnkmtot(1.4)	lnkmratio(1.4)	lnkeD(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnkmtot(1.5)	lnkmratio(1.5)	lnkeD(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnkmtot(1.6)	lnkmratio(1.6)	lnkeD(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnkmtot(1.7)	lnkmratio(1.7)	lnkeD(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnkmtot(1.8)	lnkmratio(1.8)	lnkeD(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnkmtot(1.9)	lnkmratio(1.9)	lnkeD(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnkmtot(1.10)	lnkmratio(1.10)	lnkeD(1.10)	lnFgutabs(1.11)	lnkgutelim(1.11)	lnkmtot(1.11)	lnkmratio(1.11)	lnkeD(1.11)	lnFgutabs(1.12)	lnkgutelim(1.12)	lnkmtot(1.12)	lnkmratio(1.12)	lnkeD(1.12)	lnFgutabs(1.13)	lnkgutelim(1.13)	lnkmtot(1.13)	lnkmratio(1.13)	lnkeD(1.13)	lnFgutabs(1.14)	lnkgutelim(1.14)	lnkmtot(1.14)	lnkmratio(1.14)	lnkeD(1.14)	lnFgutabs(1.15)	lnkgutelim(1.15)	lnkmtot(1.15)	lnkmratio(1.15)	lnkeD(1.15)	lnFgutabs(1.16)	lnkgutelim(1.16)	lnkmtot(1.16)	lnkmratio(1.16)	lnkeD(1.16)	LnPrior	LnData	LnPosterior
500	-0.534136	-2.27463	-0.0980634	-1.68217	-1.10656	0.238431	0.169961	0.797653	0.399442	0.394834	1.56435	1.86705	1.29914	-1.8145	-0.668128	-0.223052	0.676436	-0.578675	-0.962924	0.189642	-0.536553	0.722118	1.64131	-1.1601	-0.118935	0.4163	-0.746895	0.721017	-0.59878	-0.675724	0.402748	-2.43432	1.26361	1.35281	0.246691	1.0798	-0.0485938	0.396222	0.23274	1.40338	1.06647	1.55887	0.451847	0.207201	-0.693823	2.14191	1.17447	0.104004	1.23837	-0.160464	-0.513548	0.0162585	0.251416	-1.13851	0.605006	1.30515	1.04628	-0.558903	0.106763	0.580899	-2.28786	0.547925	-2.4257	1.24122	-1.77234	-0.114799	0.407468	1.6138	1.79906	-1.25691	1.18491	0.598259	1.35012	0.898514	-1.50343	-0.856644	0.162338	-0.262859	1.59358	1.15179	0.293624	-0.0687465	1.0435	-0.0755653	0.871424	0.365805	-0.867912	1.20999	-1.3221	-0.364141	-0.456999	-0.624393	0.220767	-1.383680e+02	-1.290343e+03	-1.428711e+03
550	-0.544594	-2.41323	-0.000927509	-1.52897	-0.918116	0.248489	0.41839	0.489166	0.377356	0.189522	1.53487	2.04519	1.30582	-1.77406	0.00316726	0.570441	0.996792	0.0910085	-0.882014	0.258848	-1.41265	-0.194545	1.31883	-2.00832	1.27957	0.637768	-1.07611	0.502644	0.570763	-0.926791	-0.320746	-2.48706	-0.0761863	1.20824	-0.331269	2.01858	0.337877	0.732459	0.567184	2.18433	0.727749	1.62531	-1.72595	0.141985	-0.107818	2.9624	1.91805	-0.996892	0.187352	1.95222	-0.43825	-1.44105	-0.92839	-0.546566	0.22831	1.4418	1.0705	-0.475837	0.47119	-1.54486	-1.40721	-0.720085	-0.904782	1.18079	1.00918	-1.48286	0.779254	0.106508	1.50646	0.0975369	1.27852	0.238222	0.450959	0.696006	1.88354	-0.331944	-0.986688	0.629531	1.32536	-0.326198	0.0918711	-0.78103	0.875117	0.67363	-0.251099	0.0105419	-0.811584	0.525939	-0.779003	-0.276541	-0.437099	-1.50542	0.969821	-1.394374e+02	-1.302673e+03	-1.442110e+03
600	-0.493984	-1.99145	-0.194569	-1.75628	-1.25184	0.294481	0.334217	0.845295	0.358935	0.0198413	1.55985	1.89678	1.32363	-1.22827	-1.39727	-0.350476	1.14129	0.208945	-1.17184	1.05077	-1.26208	0.637734	0.483218	-1.47633	0.600266	0.320979	-0.131345	-1.4882	-0.621662	0.291532	-0.201883	-0.996748	1.60245	0.564016	0.658165	0.626393	-0.447508	0.220425	0.410484	1.60304	1.11882	0.61598	-0.999494	-0.601071	0.522702	1.97434	1.30178	-0.226645	0.261057	1.51853	-1.09968	-0.849719	0.492941	-1.24993	0.66065	0.999119	0.287955	0.521791	-0.131378	-1.65077	-0.922913	-0.771651	-0.994945	1.32745	-1.04712	-1.48801	1.17171	0.700467	1.29252	1.95521	0.402393	-0.77493	0.553055	0.664428	-1.2884	-0.74624	0.885122	-1.92508	1.24823	-0.0998265	-0.468976	0.195519	1.01135	-0.641499	0.893142	-0.406987	1.13626	-0.439182	-1.72229	0.331203	-0.426265	-0.849954	-1.57108	-1.345083e+02	-1.310526e+03	-1.445035e+03
650	-0.50875	-1.67252	-0.305456	-1.64266	-1.22851	0.27623	0.373475	0.658712	0.26697	0.487326	1.69625	1.87621	1.26361	-1.39593	-2.1837	0.23636	1.09997	-0.67753	-1.13706	1.04446	-1.7074	-0.682069	0.0162198	-2.1377	1.9722	0.348968	-1.18998	0.810136	-0.0133896	0.365194	-0.956138	-1.1473	-1.48498	0.620781	-0.374359	0.523308	-0.487384	-0.905667	0.00278199	1.07412	1.04436	1.50073	0.126133	-0.261167	-1.12556	1.5382	0.579055	-0.925551	0.349142	-0.562032	-0.267823	-1.30792	0.30069	-1.28072	0.363413	1.66232	1.53376	0.0629972	0.261217	-1.56345	-2.779	0.0865364	-1.99876	0.943396	-0.341086	-1.4224	1.62576	-0.761738	1.40472	-1.1641	0.23199	1.16811	-0.992723	0.134929	0.0600882	0.162006	0.380204	1.17709	1.21948	-0.668158	-0.0266325	-0.702942	0.415295	-0.0174095	0.78783	-0.454109	-0.221929	-0.829708	-1.60438	-0.519358	-0.138689	-1.80635	0.150854	-1.382564e+02	-1.292595e+03	-1.430851e+03
700	-0.469365	-1.73108	-0.582985	-1.54535	-1.6302	0.292931	0.463836	0.532143	0.303851	0.475469	1.53057	1.87798	1.22328	-1.15531	-2.17591	0.400329	1.38367	0.372451	-1.67167	1.32512	-1.29342	0.0756807	0.821613	-2.30491	1.23264	0.668023	0.276583	1.46915	-0.333708	-1.18881	0.264319	-3.68979	0.309646	0.746414	0.204882	0.787343	-0.111142	0.0208099	0.0880476	0.239842	2.3125	1.60334	1.1393	-0.335101	-0.1023	1.5842	-0.101214	-1.8655	-0.0547181	0.752811	-0.961969	-1.75248	0.0259324	-1.24035	-0.179499	1.35829	1.48873	-0.480172	0.586308	-2.83479	-2.6675	-0.267169	-1.21772	1.19532	-2.01388	-1.14371	0.948001	0.581822	1.0334	-0.691897	0.792392	-0.352401	-0.537589	-0.158205	0.641236	0.340957	1.31776	1.26591	1.12551	1.06035	-0.85023	-0.273532	-0.669276	-0.318764	1.78862	-0.793691	-0.090313	0.00952253	-1.21807	-1.22059	0.557178	-1.88724	1.32495	-1.500416e+02	-1.281162e+03	-1.431204e+03
750	-0.426771	-1.78406	-0.39423	-1.69253	-1.63085	0.274553	0.532604	0.478566	0.415808	0.478195	1.56018	2.01918	1.2437	-1.40239	-1.55899	-0.75374	1.084	-0.350753	-1.55712	0.505856	-1.8896	-0.471588	1.45951	-2.10008	1.06106	-0.245661	-0.0825574	-0.472174	-0.37503	0.821704	-2.92196	-1.96288	-1.4791	0.383872	1.66811	0.902503	-0.1671	-0.000951997	-0.0376155	1.59655	1.53115	1.59649	0.274504	-0.777647	-0.440792	2.91145	-0.322444	0.125372	-0.469687	0.638397	0.00696931	-0.709892	1.41313	-2.17998	0.931208	1.33538	1.15145	-0.458004	0.715133	-2.9729	-3.61017	-0.594418	-1.57153	0.470313	-0.516081	-0.0601799	0.922381	1.8682	1.19325	-0.82442	0.106804	1.21542	-0.670959	0.39356	0.192699	-1.11629	-0.0509791	1.03656	1.18263	-0.582822	-0.760142	0.0612891	-0.0365665	-0.612056	1.19218	-1.35598	0.784029	-0.334552	-1.6471	-0.702145	0.908129	-0.443992	1.79978	-1.540899e+02	-1.287321e+03	-1.441411e+03
800	-0.450538	-1.91093	-0.297087	-1.56381	-1.26846	0.258231	0.335214	0.356675	0.30677	0.3869	1.60912	1.89543	1.30119	-1.97183	-1.00371	0.828969	-0.540262	-0.115409	-1.54127	-0.0537601	-2.27051	-0.340446	1.17158	-2.5271	0.338635	0.728352	0.141325	1.28165	-0.120619	-1.12856	0.383934	-1.40057	0.155296	0.556245	-0.918443	0.65436	-0.861028	-0.731639	0.881487	0.314702	0.654413	1.37327	-2.14031	-0.838762	0.65421	2.44526	1.73144	-1.67998	0.206779	0.156655	0.797991	-0.436569	0.668858	-1.5464	-0.525877	0.927169	1.13729	-1.29018	0.235347	-1.52538	-4.6746	-0.499887	-1.65735	0.422872	-0.515244	-0.0144309	1.09005	1.77591	1.25725	-0.910112	0.487136	0.24832	-0.496829	0.121364	-0.458567	1.35651	-0.508925	1.70387	1.08758	0.00657045	-0.964718	0.728987	-0.711932	-0.551012	0.0796046	0.903448	-0.89304	0.965653	-1.89329	-0.80674	-0.22474	-1.08005	0.565931	-1.443440e+02	-1.308174e+03	-1.452518e+03
850	-0.501266	-2.01505	-0.116694	-1.85544	-1.15194	0.328701	0.0451708	0.527566	0.335863	0.457286	1.55975	1.92705	1.25913	-1.63772	0.939076	0.259472	2.14983	-0.128361	-0.913375	0.0206031	-1.56122	1.26824	1.19134	-1.22721	1.12948	0.681847	-0.346569	1.26008	-0.582197	-0.713799	-0.520817	-0.950653	-0.511574	0.778546	2.63695	-0.639584	0.063676	-2.09876	0.328783	0.706339	1.48865	2.07195	-0.268144	-0.297763	-1.24769	2.0236	1.42374	-1.07147	0.336455	0.416352	-0.629284	-0.852845	0.735808	-0.880275	-0.171562	2.03206	1.74355	0.371137	-0.89893	-0.369348	-1.90927	-0.255414	-0.834814	0.354726	0.815768	-0.508604	0.254839	0.965456	0.909283	-2.28294	0.939468	-0.482279	0.406066	0.469163	0.875401	-1.56826	0.358433	-0.170272	1.18901	-0.474526	0.296341	0.8694	0.739616	-0.128141	-1.05376	0.718672	-1.77153	1.174	-1.4423	1.31529	-0.699797	-1.01726	-0.166695	-1.385543e+02	-1.306846e+03	-1.445400e+03
900	-0.473256	-2.03639	-0.399871	-1.7004	-1.29026	0.278331	0.305895	0.41945	0.363555	0.251808	1.52043	1.75218	1.33141	-1.52389	-1.78845	0.59128	0.938326	0.0790966	-1.50747	0.434339	-0.951222	-0.00857373	2.08451	-1.4029	-1.28682	0.823293	-1.43305	1.40447	-0.391825	-1.10708	0.320203	-1.54774	0.736396	1.02597	-0.936086	1.23099	-0.165394	-0.298024	-0.264921	1.52844	2.11929	1.64808	0.767675	-0.446983	-1.44579	2.24567	0.631648	-1.41767	0.291273	1.53189	-0.346912	-0.637858	1.03106	-1.29223	0.983758	1.71121	-0.0985784	-2.17889	-0.0743723	-1.64406	-2.0335	0.408676	-0.832537	0.911893	1.24826	-1.55506	1.6593	0.882839	1.26729	0.842526	0.248365	-2.19484	-0.837655	0.32843	0.832375	-0.794429	-0.177302	-0.602259	1.2724	0.428998	0.0453854	-0.453206	0.99502	-0.0782514	-0.874185	0.390104	1.21962	0.429899	-1.91978	0.471375	0.119881	-1.06708	0.604181	-1.399568e+02	-1.309246e+03	-1.449203e+03
950	-0.53412	-2.04414	-0.465481	-1.68943	-1.31593	0.234537	0.246854	0.552678	0.40175	0.459275	1.53779	1.88295	1.29663	-1.69838	-1.42513	0.867166	0.433644	0.532632	-1.36641	0.375301	-1.02276	0.279982	0.451333	-1.61973	-0.585238	0.504277	1.02049	0.291631	-0.284202	-1.25957	0.656018	-2.29008	1.26176	1.07291	0.160556	0.407355	0.865832	-1.23624	0.866231	0.610574	1.24795	2.07824	-0.396258	0.352557	-0.926181	2.2945	0.322018	-1.6446	1.23388	-0.244025	-0.456817	-0.14322	1.01279	-1.33015	0.725315	1.71606	1.39655	-1.10771	-0.0947128	-0.453719	-2.51463	0.117481	-1.09488	1.07065	0.525841	-0.733353	-0.232105	0.730453	1.53063	-0.375303	1.39697	-0.474345	0.214541	0.612562	-0.138547	0.498435	-0.434619	1.45191	1.74939	-0.131423	0.255362	0.195448	0.517101	0.149252	0.16674	0.419724	-0.323155	0.460999	-1.75051	0.825723	-0.230022	-1.26909	0.415746	-1.327862e+02	-1.297837e+03	-1.430623e+03
